S1 EP01 IN
S1 EP01：こっちだ　早く　|　在这边 快点
S1 EP10：世界の敵を何者かが倒した　|　世界之敌被某人打倒了
S1 EP10：だが今もなお　残された力が数多くうごめいている　|　但现在 残留的多方势力仍蠢蠢欲动
S1 EP10：尋常の力では討伐も能わぬ　修羅のごとき百鬼魔人が　|　寻常力量无法讨伐 如同修罗的妖魔鬼怪
S1 EP10：世界最大の都市　黄都が勇者の選定を進める中　|　世界最大的都市 黄都推进勇者选拔之时
S1 EP10：リチア新公国を率いる警めのタレンは　|　统率利奇亚新公国的警戒塔莲
S1 EP10：新たな秩序　恐怖による統治を求めていた　|　寻求着新秩序 恐怖统治
S1 EP10：よくもメイジを…　|　竟敢把梅吉市…
S1 EP10：クソ　|　可恶
S1 EP10：俺たちのメイジを焼きやがったな　|　烧了我们的梅吉是吧
S1 EP10：死ね　|　去死吧
S1 EP10：先生　こっちのほうまで燃えてる　|　老师 火已经烧到这边了
S1 EP10：この火はメイジ市兵の暴走か　|　放火的是暴走的梅吉士兵吗
S1 EP10：それとも他の何者かが…　|　还是说另有其人…
S1 EP10：先生　|　老师
S1 EP10：女がいるぞ　|　有女人啊
S1 EP10：リチアのヤツだよな　|　是利奇亚的吧
S1 EP10：やめとけ　兵士じゃないだろ　|　别这样 她们又不是士兵
S1 EP10：知るかよ　ちくしょう　|　我才不管 混蛋
S1 EP10：俺らの街は　こいつらにやられたんだ　|　我们的城市 是被这些人毁掉的
S1 EP10：同罪だろうが　|　她们也同样有罪
S1 EP10：メイジ市兵は黄都側　|　梅吉士兵属于黄都一方
S1 EP10：始末するにしても　ある程度の言い訳が必要になる　|　要解决他们还需要找点借口
S1 EP10：いいかお前ら　動くなよ　|　给我听好了 不要动
S1 EP10：先生　|　老师
S1 EP10：待ってください　キア　|　等一下 祈雅
S1 EP10：先生がまず話を…　|　让我来交涉…
S1 EP10：なんだ　|　怎么
S1 EP10：こんな時に　女の子を誘う相談でもしてるのか　|　这种时候还想着钓女人啊
S1 EP10：楽しそうだな　俺もまぜてくれ　|　真有趣啊 带我一个吧
S1 EP10：邪魔をするな　魔族風情が　|　别来捣乱 魔族
S1 EP10：さて　|　话说
S1 EP10：あんたたちもリチアのヤツじゃないな　|　你们也不是利奇亚人吧
S1 EP10：何者だ　|　是哪来的
S1 EP10：だんまりか　|　不说话啊
S1 EP10：死人より口なしだ　|　比死人还沉默呢
S1 EP10：キアに「死ね」と言わせることさえできれば　|　只要能让祈雅说「去死」
S1 EP10：魔族だって殺すことができる　|　应该也杀得掉魔族
S1 EP10：けれど…　|　可是…
S1 EP10：あの動きより速く　それができるだろうか　|　能比他的动作更快吗
S1 EP10：あたし…　|　我…
S1 EP10：イータ樹海道から勉強に来たの　|　是从伊塔森林道来这里学习的
S1 EP10：この人はあたしの先生で　|　这个人是我的老师
S1 EP10：だから…その…　|　所以…那个…
S1 EP10：助けてくれたのよね　|　你救了我们吧
S1 EP10：ありがとう　|　谢谢你
S1 EP10：けれど　|　可是
S1 EP10：殺すことまではなかったと思うわ　|　我觉得没必要杀他们
S1 EP10：キア　|　祈雅
S1 EP10：だって　そうじゃない　|　确实是这样啊
S1 EP10：まだ何もしてなかった　|　他们还什么都没做呢
S1 EP10：あたしだったらもっとうまくやれたわ　|　我可以处理得更好
S1 EP10：そうだな　|　也是啊
S1 EP10：そこのお嬢さんの言うとおりだった　|　这位小姐说得没错
S1 EP10：東側でリチアの兵が避難誘導をしている　|　利奇亚的士兵在东边指挥着避难
S1 EP10：逃がしてもらえ　|　从那边逃走吧
S1 EP10：あっちは火の勢いもまだ弱い　|　那边的火势也弱
S1 EP10：あなた　名前は？　|　你的名字是？
S1 EP10：もうない　|　已经没有了
S1 EP10：生きていた頃の名前はな　|　失去了活着时的名字
S1 EP10：こっちだ　急げ　|　这边 快点
S1 EP10：早く　|　快点
S1 EP10：早く街を出ろ　|　快点离开城市
S1 EP10：女　子供が先だ　|　女人和孩子先走
S1 EP10：押すな　|　别推
S1 EP10：キア　やっぱり先生と街を出ましょう　|　祈雅 还是跟老师一起离开这里吧
S1 EP10：でも…　|　可是…
S1 EP10：ラナさんが心配なのは分かります　|　我知道你担心拉娜
S1 EP10：けれど　さっきのことで分かったでしょ　|　可是 经过刚才的事你还不明白吗
S1 EP10：そうね　|　你说得对
S1 EP10：キアは何も知らない　|　祈雅什么都不懂
S1 EP10：もしも　かつての私がこの子のようだったら…　|　如果 那时的我能像她一样…
S1 EP10：誰か一人でも信じられる大人がいて　|　能有一个值得信赖的大人在身边
S1 EP10：世界の悪意に無頓着でいられてたら…　|　可以对世间的恶意毫无知觉的话…
S1 EP10：いえ　本当は誰だって自分の力で戦うしかない　|　不对 所有人都只能靠自己战斗
S1 EP10：私は私自身の手で幸せを　|　我要靠自己的手抓住幸福
S1 EP10：それでも　助けさせてよ　|　但还是让我救她吧
S1 EP10：キア　|　祈雅
S1 EP10：あたしなんだってできるのに　|　我明明什么都做得到
S1 EP10：友達も助けられないなんて　絶対に嫌だから　|　怎么可以连朋友都救不了
S1 EP10：こっちだ　急げ　|　这边 快点
S1 EP10：もしも　ここで何もしないままだったら　|　要是这时什么都不做的话
S1 EP10：大人になってからきっと後悔するから　|　我长大后一定会后悔的
S1 EP10：だから　一緒に来て　先生　|　所以 一起来吧 老师
S1 EP10：正しいことをするのを見ていて　|　看着我做正确的事
S1 EP10：あたしは無敵だから　幸せでいたいの　|　我是无敌的 我想一直幸福
S1 EP10：もう月嵐のラナを始末する理由はない　|　已经没有解决月岚拉娜的理由了
S1 EP10：私と世界詞のつながりを誰かに伝える機会もないはず　|　她应该没有机会告诉别人我和世界词的关联了
S1 EP10：むしろキアのわがままに付き合えば　|　但如果让祈雅任性的话
S1 EP10：世界詞の実在が他の誰かに知られるかもしれない　|　世界词的存在还是有可能被人知道的
S1 EP10：キア　お願いだから先生の…　|　祈雅 拜托你听老师…
S1 EP10：一緒にいてくれないと嫌なの　エレア　|　我不想跟你分开 爱蕾雅
S1 EP10：ええ　そうですね　|　嗯 说得也是
S1 EP10：逆に教えられてしまいましたね　|　反过来被你教了呢
S1 EP10：キアは先生の自慢の生徒です　|　祈雅是让我骄傲的学生
S1 EP10：キア　|　祈雅
S1 EP10：来ないで　|　别过来
S1 EP10：ねえ　先生　|　老师
S1 EP10：また戻れるわよね　|　一切还能回去的吧
S1 EP10：また平和だった時みたいに　|　回到曾经和平的样子
S1 EP10：それは…　|　这…
S1 EP10：だって　ラナの好きな街がこんなふうになって　|　拉娜喜欢的城市变成了这个样子
S1 EP10：ラナだってひどい目に遭ってばかりで　|　她也吃了不少苦头
S1 EP10：可哀想じゃない　|　很可怜吧
S1 EP10：本当に　|　是啊
S1 EP10：みんな　元どおりに戻れるといいですよね　|　一切 能回到原样就好了
S1 EP10：あの噴水　気に入ってたんだけどな　|　那个喷泉 我还挺喜欢的呢
S1 EP10：すでに鳥竜部隊は壊滅　|　鸟龙部队已被消灭
S1 EP10：市街部の防衛線もすべてが突破されて　甚大な被害を被っています　|　街道的防卫线已全被突破 损失非常严重
S1 EP10：負けるなあ　|　要输了啊
S1 EP10：特に火災の状況がひどく　消火の見込みは立っておりません　|　火势尤其猛烈 找不到灭火的办法
S1 EP10：また　侵入したメイジ市の市兵が　虐殺行為…　|　还有入侵的梅吉士兵在虐杀…
S1 EP10：ここの部隊はもう撤退したぞ　|　这里的部队已经撤离了
S1 EP10：俺だけだ　|　只剩我了
S1 EP10：そうかい　|　这样吗
S1 EP10：ご親切にどうもありがとう　|　感谢告知
S1 EP10：君もそうするべきだったね　|　你也应该撤离的
S1 EP10：何言ってんだか　|　你在说什么呢
S1 EP10：兵を引かせたのは　邪魔をさせないためだ　|　我让士兵撤退 是为了不被他们妨碍
S1 EP10：こんな面白い世界で　逃げるなんてもったいないまねするわけないだろ　|　在这么有趣的世界里 我怎么可能干逃跑这种浪费的事
S1 EP10：全部　俺のもんだ　|　全都是我的玩具
S1 EP10：そう　|　这样
S1 EP10：それなら最後によく眺めておくといい　|　那就好好看到最后吧
S1 EP10：全部粉みじんになってしまうだろうから　|　我会把一切都碾成粉末的
S1 EP10：魔族だな　|　是魔族吧
S1 EP10：ナガンで見た連中と同じように　|　跟在纳甘看到的那群家伙一样
S1 EP10：この蜘獣の野郎を生かしている核がある　|　这个蜘兽也有支撑生命的核心
S1 EP10：胴体の中か　|　在身体里面吗
S1 EP10：こいつの中身を殺す　|　要把内部杀掉
S1 EP10：さて　|　那么
S1 EP10：どうする　|　怎么杀呢
S1 EP10：硬すぎるだろ　|　这也太硬了吧
S1 EP10：いい腕だね　剣士さん　|　你身手不错呢 剑士
S1 EP10：でも私には勝てないよ　|　但赢不过我的哦
S1 EP10：剣士…　|　剑士…
S1 EP10：剣士ね　|　剑士啊
S1 EP10：斬れねえな　|　砍不了呢
S1 EP10：剣以外の攻撃も試してみたんだが　|　剑以外的攻击也试过了
S1 EP10：剣士か　|　剑士吗
S1 EP10：どこの誰が斬った　|　那是什么人砍的
S1 EP10：そこ　その噴水だけどさ　結構気に入ってたんだよ　|　这个喷泉啊 我还挺喜欢的
S1 EP10：景色とか建物とかは好きなんだ　|　我喜欢景色和建筑之类的
S1 EP10：盗めないから　|　因为偷不走
S1 EP10：突進？　|　冲锋？
S1 EP10：いや　さっきとは動きが　|　不对 跟刚才动作不同
S1 EP10：やっぱり糸か　|　果然是蛛丝吗
S1 EP10：巣の中ってことね　|　我被网住了呢
S1 EP10：さあ　死んでよ　|　好了 去死吧
S1 EP10：どっちがだ　|　是谁死呢
S1 EP10：ダカイ殿　|　达凯阁下
S1 EP10：指示どおり「冷たい星」を照射しました　|　按您的指示 用「冷星」照射了
S1 EP10：冗談だろ　|　开玩笑吧
S1 EP10：熱も衝撃もヘルネテンには効かない　|　高温和冲击对赫鲁涅腾都是无效的
S1 EP10：あんなもので倒せると思ったのかい　|　你以为凭那玩意就能打败我吗
S1 EP10：マズいな　|　不妙啊
S1 EP10：ヤツを誘導して　あえて水を浴びさせた　|　故意诱导那家伙 让她沾了水
S1 EP10：空気が熱されれば　装甲の隙間が泡立つかと思ったが　|　本以为再加热空气就能让装甲的缝隙起泡
S1 EP10：完全密閉だ　|　是完全密闭的啊
S1 EP10：空気孔すらないのか　|　连透气孔都没有吗
S1 EP10：中のヤツはどうやって生きてるんだ　|　里面那家伙是怎么维持生命的
S1 EP10：窒息は狙えない　|　窒息行不通
S1 EP10：水没も無意味　|　水淹也没有意义
S1 EP10：魔剣の刃も通らない　|　魔剑的刀刃也砍不穿
S1 EP10：埋めても出てくる　|　埋入地下也会再出来
S1 EP10：糸でねじ切る小細工も　関節を狙っても　|　用细线切断的小花招也好 瞄准关节也好
S1 EP10：冷たい星も　何も効かない　|　冷星也是 完全没有效果
S1 EP10：どうやって斬ったんだ　こんなヤツ　|　那是怎么砍出来的
S1 EP10：君は…　|　你…
S1 EP10：邪魔だ　|　很碍事
S1 EP10：楽しい　この世界は楽しい　|　有趣 这个世界真有趣
S1 EP10：よし　試しにやってみるか　|　好 试试看吧
S1 EP10：生きているの　|　还活着啊
S1 EP10：なぜか…　|　为什么…
S1 EP10：分かってくれるヤツがいないんだけどさ　|　没有人能理解
S1 EP10：俺　剣士じゃなくて　盗賊なんだよな　|　我 不是剑士 而是盗贼啊
S1 EP10：それは気が合いそうだね　|　听起来我们很合得来嘛
S1 EP10：私も人間と仲良くしたいのに　|　我明明也想和人类好好相处
S1 EP10：分かってもらえないのさ　|　但没有人理解我
S1 EP10：そっか　|　是吗
S1 EP10：初めてあんたと世間話できたな　|　第一次和你聊上闲话了呢
S1 EP10：糸？　|　蛛丝？
S1 EP10：俺が本当に得意なのはさ　|　其实我真正擅长的事啊
S1 EP10：こうやって武器を盗むとか　|　是像这样把武器偷走
S1 EP10：鍵を開けるとか　|　还有开锁
S1 EP10：何を…　|　你做了什么…
S1 EP10：想像どおり　かわいい顔だったな　|　和我想的一样 长得真可爱呢
S1 EP10：考えたんだよ　|　我思考过了
S1 EP10：そいつが生体戦車なら　動かすのは神経だ　|　如果这是生物战车 那就是神经驱动
S1 EP10：搭乗口を動かすのだって　神経からの指令なんだろう　|　搭乘口的开关 也是从神经传递的指令吧
S1 EP10：だとしたら　ぶっ壊せるんじゃないかって　|　既然如此 就可以破坏掉
S1 EP10：神経からはじける　根獣の毒で　|　用率先爆裂神经的根兽之毒
S1 EP10：ダカイは　ヒグアレが体内に隠し持つ毒剣の１本を盗んでいた　|　达凯盗取了一把希古尔雷藏在体内的毒剑
S1 EP10：それは神経の流れすらも把握する　世界逸脱の観察力　|　他那超脱世界的观察力 甚至能掌控神经走向
S1 EP10：神経に作用する毒で脳のどの部分を侵し　|　神经毒素应该入侵的大脑部位
S1 EP10：どこを不全にすれば　開閉機能を解錠できるか　|　开门需要损坏的部分
S1 EP10：観察によって確かめていた　|　他通过观察确定了
S1 EP10：柳の剣のソウジロウによって刻まれた傷口は　|　柳之剑宗次朗留下的伤口
S1 EP10：鵲のダカイにとっての鍵穴であった　|　成为了喜鹊达凯的锁孔
S1 EP10：本当に世間話が好きなんだね　|　你还真是喜欢聊闲话啊
S1 EP10：俺の話は面白いだろう　|　我说的还挺有趣的吧
S1 EP10：そうかもね　|　或许吧
S1 EP10：ヒグアレが…　|　希古尔雷…
S1 EP10：やられた　|　被干掉了
S1 EP10：世界詞なのか　|　是世界词吗
S1 EP10：あれが世界詞の力か　|　那就是世界词的力量吗
S1 EP10：こいつらだって強者だった　|　这些家伙也是强者啊
S1 EP10：倒さなきゃ　黄都を滅ぼすような連中だったんだ　|　不打倒的话 他们就会毁灭黄都
S1 EP10：なのに　こんな簡単に…　|　居然 这么简单就…
S1 EP10：こんなゴミみたいに踏みにじるバケモノがいていいわけないだろ　|　怎么能有这种把其他人像垃圾一样践踏的怪物
S1 EP10：ラナ　何をやっているの　|　拉娜 你在干什么呢
S1 EP10：エレア　キア　|　爱蕾雅 祈雅
S1 EP10：こんなの　ひどすぎる　|　这样也太过分了
S1 EP10：バケモノばかりだ　|　净是些怪物
S1 EP10：全部殺してやる　|　我要杀光他们
S1 EP10：ラナ　|　拉娜
S1 EP10：この街も　お前らも　|　这座城市也好 你们也好
S1 EP10：冷たい星で消し飛ばしちまえばいい　|　用冷星灰飞烟灭就行了
S1 EP10：誰かが…　|　要有人来…
S1 EP10：誰かがやらなきゃ終わらないだろ　|　要有人来这么做才会结束吧
S1 EP10：ラナ　|　拉娜
S1 EP10：止まって　|　停下
S1 EP10：散って　|　消散
S1 EP10：落ち着いて　ラナ　|　冷静点 拉娜
S1 EP10：あなた　多分怖すぎておかしくなってるんだわ　|　你也许是太害怕所以失去理智了吧
S1 EP10：あたしの知ってるラナじゃないもの　|　都不像是我认识的那个拉娜了
S1 EP10：ねえ　そうでしょ　|　对吧 是这样吧
S1 EP10：こんな　ひどいことなんてあるから　|　都是因为发生了这么过分的事情
S1 EP10：ねえ　先生　|　老师
S1 EP10：あたしの力は人を幸せにするための力って言ってたわよね　|　你说过我的力量是为了让人们幸福对吧
S1 EP10：キア　いけない　|　祈雅 不行
S1 EP10：力を見せては　|　不能展现力量
S1 EP10：消えて　|　消失
S1 EP10：ラナ　もうこれで怖がることなんてないわ　|　拉娜 这样就不可怕了吧
S1 EP10：なんなんだ　|　怎么回事
S1 EP10：なんなんだよ　お前らは　|　你们怎么回事啊
S1 EP10：ラナさん　|　拉娜
S1 EP10：もう帰りましょう　|　我们回去吧
S1 EP10：あたしを…　|　你是…
S1 EP10：あたしを殺す気なのか　|　你是想杀了我吗
S1 EP10：やめてくれ　頼む　|　不要 求你了
S1 EP10：キアの前だろ　|　祈雅看着呢
S1 EP10：ねえ　あの…　|　那个…
S1 EP10：本当はあたし　なんだってできて　|　其实我 是无所不能的
S1 EP10：隠しててごめん　|　抱歉一直瞒着你
S1 EP10：もっと早くあなたの街を助けてあげられなくて　|　没能早点救下你的城市
S1 EP10：たとえ　そいつがバケモノでも　|　就算那家伙是个怪物
S1 EP10：キアの前でだけは　きれいでお優しい先生でいたいんじゃないのか　|　但至少在她面前 你还是想当个漂亮温柔的老师对吧
S1 EP10：頼む…　|　求你了…
S1 EP10：ラナさん　|　拉娜
S1 EP10：そんなこと　|　那种事
S1 EP10：先生がするわけないじゃないですか　|　老师怎么可能做得出来呢
S1 EP10：#消失的灾厄
S1 EP10：#利奇亚新公国
S1 EP10：#魔剑·魔具 强大能力附着的剑或道具。也有和客人一样因为有强大能力附着，从异世界转移而来的器具。
S1 EP10：#日落之时
S1 EP10 OUT

S1 EP11 IN
S1 EP11：本物の魔王は死んだ　|　真正的魔王已经死了
S1 EP11：世界の敵を何者かが倒した　|　世界之敌被某人打倒了
S1 EP11：だが今もなお　残された力が数多くうごめいている　|　但现在 残留的多方势力仍蠢蠢欲动
S1 EP11：尋常の力では討伐も能わぬ　修羅のごとき百鬼魔人が　|　寻常力量无法讨伐 如同修罗的妖魔鬼怪
S1 EP11：世界最大の都市　黄都が勇者の選定を進める中　|　世界最大的都市 黄都推进勇者选拔之时
S1 EP11：リチア新公国を率いる警めのタレンは　|　统率利奇亚新公国的警戒塔莲
S1 EP11：新たな秩序　恐怖による統治を求めていた　|　寻求着新秩序 恐怖统治
S1 EP11：出ろよ　遠い鉤爪のユノ　|　出来吧 远方钩爪悠诺
S1 EP11：ダカイ　|　达凯
S1 EP11：どうした　言ったとおり助けに来てやったぜ　|　怎么了 我说过会放你出去的
S1 EP11：今さら　何言ってるの　|　都这时候了你在说什么啊
S1 EP11：戦ってるんでしょう　あなたたちの軍が　|　你们的军队 不是在战斗吗
S1 EP11：私なんかを逃がしている暇があるの　|　你还有空来放我走吗
S1 EP11：俺の軍じゃない　|　那不是我的军队
S1 EP11：泣いても騒いでも　もうリチアはダメだろ　|　怎么哭怎么闹 利奇亚都已经完了
S1 EP11：だけど　その前に約束は守るってだけだ　|　我只是来履行我的承诺
S1 EP11：何しろお前はヒグアレに巻き込まれただけだし　|　毕竟你只是被希古尔雷卷进来的
S1 EP11：ナガンのことだってあるからな　|　我和你还有纳甘那件事
S1 EP11：それに俺みたいな悪党でもさ　|　而且就算是我这样的恶徒
S1 EP11：ウソだけはついたことないんだ　|　也不会撒谎
S1 EP11：ふざけないでよ　|　别开玩笑了
S1 EP11：強ければ　自分の街が滅んだってなんとも思わないって言うの　|　就因为你强 你就能不在乎自己的城市被毁吗
S1 EP11：悲しんだり苦しんだりしないの　|　就能不悲伤不痛苦吗
S1 EP11：死ぬまで戦ったりしないの　|　就不会去死战到底吗
S1 EP11：私は…　|　我…
S1 EP11：たった１人が死んだだけで　まるで地獄のただ中にいるのに　|　只因一个人的死 就感觉自己身陷地狱之中
S1 EP11：そうだな　今さら何も思わないな　|　是啊 已经没什么感觉了
S1 EP11：確かにタレンちゃんのことは好きだったけどさ　|　我确实挺喜欢塔莲的
S1 EP11：生きてりゃ　別の出会いだってあるもんだろ　|　但只要还活着 不也能遇到其他人吗
S1 EP11：待て　鵲のダカイ　|　等等 喜鹊达凯
S1 EP11：なんだよ　まだ俺に用か　|　怎么 找我还有事吗
S1 EP11：復讐するなら　今やれって言ったでしょう　|　你说过吧 要复仇就现在
S1 EP11：ユノよりフィピケの鏃へ　|　悠诺致菲皮克之箭矢
S1 EP11：軸は第二指格子の星　|　轴为第二指格子之星
S1 EP11：爆ぜる火花　回れ　|　爆裂火花 旋转
S1 EP11：本気で戦う気か　|　真的要打吗
S1 EP11：カーテ　さっさと逃げろ　|　卡黛 快逃吧
S1 EP11：ノロマめ　|　呆子
S1 EP11：レグネジィ　どうして　|　雷古聂吉 怎么了
S1 EP11：これ　レグネジィの血なの　|　这 是雷古聂吉的血吗
S1 EP11：レグネジィが負けるなんて　信じられない　|　雷古聂吉怎么会输呢
S1 EP11：リチアは終わりだ　|　利奇亚已经完了
S1 EP11：タレンには恩がある　|　塔莲对我有恩
S1 EP11：群れも…　|　族群也…
S1 EP11：ずっと僕が守ってやった　|　我一直保护着它们
S1 EP11：増やし　支配して　導いてやった　|　扩大 支配 引导着它们
S1 EP11：どうしようもないグズどもを…　|　这群无可救药的渣滓们…
S1 EP11：いい気味だ　|　真是活该
S1 EP11：だけど全部　これで台なしだ　|　但现在全都没了
S1 EP11：でも　最後に…　|　但是 最后…
S1 EP11：最後に僕は勝ったぞ　カーテ　|　最后是我赢了 卡黛
S1 EP11：僕の宝は…　|　我的宝物…
S1 EP11：逃げろ　カーテ　|　快逃吧 卡黛
S1 EP11：黄都軍がここに来る前に　|　在黄都军杀到之前
S1 EP11：お前だけは　それでいいんだ　|　只要你能活下去就好
S1 EP11：僕が最後に勝つ　|　最后赢的人是我
S1 EP11：星馳せアルス　|　星驰阿鲁斯
S1 EP11：ざまあみろ　|　你自找的
S1 EP11：レグネジィ　|　雷古聂吉
S1 EP11：動くな　|　不准动
S1 EP11：そんな…バカな　|　怎么会…这样
S1 EP11：どなたですか　|　你是什么人
S1 EP11：私は黄都二十九官　第六将　|　我是黄都二十九官的第六将
S1 EP11：静寂のハルゲントである　|　静寂的哈鲁甘特
S1 EP11：メイジ市民の要請により　外敵を討つためにここに来た　|　应梅吉市民的要求 来此讨伐外敌
S1 EP11：そう　黄都…　|　这样啊 黄都…
S1 EP11：やっぱり終わりなんですね　全部　|　果然全都结束了吗
S1 EP11：貴様は虜囚か　それとも民間人か　|　你是俘虏吗 还是普通人
S1 EP11：やめろ　|　别这样
S1 EP11：それはダメだ　よくない　|　不可以这样
S1 EP11：それは民を虐殺した恐るべきものだ　|　他是虐杀市民的恐怖怪物啊
S1 EP11：人族の義務として　討たねばならないのだ　|　身为人类 我有义务讨伐他
S1 EP11：レグネジィは…　|　雷古聂吉…
S1 EP11：レグネジィは私の友達です　|　雷古聂吉是我的朋友
S1 EP11：人間の誰よりも私を助けてくれた　大切な…　|　给我的帮助比任何人类都多 是我重要的…
S1 EP11：貴様は　まだ若い娘ではないか　|　你还是个年轻的姑娘
S1 EP11：そのような残酷な罪を背負うべきではない　|　你不该背负如此残酷的罪孽
S1 EP11：頼む　大勢の民が死んでいる　|　拜托你了 已经死了很多人了
S1 EP11：もう　たくさんだ　|　已经太多了
S1 EP11：私も…　|　我…
S1 EP11：本当は私も　人を殺したくはない　|　其实我也不想杀人
S1 EP11：だから　頼む　|　所以说拜托你
S1 EP11：知っていました　|　我都知道的
S1 EP11：知らないふりをしていただけで　|　只是装作不知道
S1 EP11：ずっと前から…　|　一直都假装着…
S1 EP11：私が何をしているのか　レグネジィが何者なのか　|　我知道我在做什么 也知道雷古聂吉是什么人
S1 EP11：やめろ　|　住手
S1 EP11：あなたはずっと　私の天使だったよ　レグネジィ　|　你一直都是我的天使 雷古聂吉
S1 EP11：よせ　やめろ　|　快停下 住手
S1 EP11：それは人族の敵だ　|　他是人类的敌人
S1 EP11：言うな　クズが　|　闭嘴 垃圾
S1 EP11：クズの無能のマヌケ野郎めが　|　无能的垃圾废物
S1 EP11：それ以上　カーテを…　|　不准再对卡黛…
S1 EP11：そいつは　鳥竜なんだぞ　|　他是 鸟龙啊
S1 EP11：カー…　|　卡…
S1 EP11：レグネジィ…　|　雷古聂吉…
S1 EP11：俺の友達を　バカにするな　|　不准愚弄我的朋友
S1 EP11：アルス…アルス…　|　阿鲁斯…阿鲁斯…
S1 EP11：アルス　|　阿鲁斯
S1 EP11：貴様　|　你这家伙
S1 EP11：友達を助けるのなんて　当たり前だろ　|　帮助朋友 不是理所当然的吗
S1 EP11：今　助けを　|　我去找人救你
S1 EP11：レグネジィ…　|　雷古聂吉…
S1 EP11：本当に…　|　你真的是…
S1 EP11：鳥竜だったんだね　|　鸟龙呢
S1 EP11：誰　|　谁
S1 EP11：天使様って言えば信じるかい　|　如果我说是天使 你信吗
S1 EP11：お嬢ちゃんを迎えに来た　|　来接你的
S1 EP11：そう　ありがとう　|　是吗 谢谢你
S1 EP11：あの日も誰かが…　|　那天也有人…
S1 EP11：天使の歌を歌って　|　唱了天使的歌
S1 EP11：本当はずっと…　|　其实我…
S1 EP11：ずっと願っていたことが…　|　一直都有一个愿望…
S1 EP11：誰だって　救われる権利があるんだ　|　谁都拥有获救的权利
S1 EP11：なんでも願っていい　|　任何愿望都可以
S1 EP11：お母さん…　|　妈妈…
S1 EP11：お母さんを…　|　我妈妈…
S1 EP11：何人斬ったか　|　砍死几个了
S1 EP11：魔王自称者の終わりとしては上等だな　タレン　|　真是符合魔王自称者的结局啊 塔莲
S1 EP11：シャルクか　|　夏鲁库吗
S1 EP11：貴様もご苦労だったな　|　你也辛苦了呢
S1 EP11：いいさ　俺はもともと働いちゃいない　|　没事 我也没干什么活
S1 EP11：さあて　|　是吗
S1 EP11：そうとも思えんがな　|　我感觉不像呢
S1 EP11：負け戦を後悔してるか　|　你在后悔战败了吗
S1 EP11：まさか　|　怎么会
S1 EP11：戦いを挑む以上は負けて失うことも受け入れるべきだ　|　既然挑起了战斗 自然也该接受战败之失
S1 EP11：いや　違うな　|　不 你说得对
S1 EP11：ウソだ　|　我后悔
S1 EP11：本当は私を慕う兵を民を　カーテを幸せにできなかったのが口惜しい　|　后悔没能让仰慕我的士兵和民众还有卡黛幸福
S1 EP11：まだ見ぬ理想のために全員を巻き込んで　|　后悔将所有人卷入我的理想
S1 EP11：その償いを果たすことができずに死ぬのが　口惜しい　|　而不能在死前弥补大家
S1 EP11：そうか　|　是吗
S1 EP11：平和をつくれる王の器ではなかったな　|　看来我并非能创造和平的帝王之才
S1 EP11：私の生きた世界はずっと戦場だったから　|　毕竟我一直生活在战争的世界中
S1 EP11：気にするな　俺も似たようなもんだろう　|　别在意 我也差不多
S1 EP11：何しろ死んだあともこうだ　|　死后都还是这副摸样
S1 EP11：音斬りシャルク　|　斩音夏鲁库
S1 EP11：本物の魔王が果てた　「最後の地」の情報を知りたいのだったな　|　你想知道真正魔王葬身之所「最终之地」的情报吧
S1 EP11：おかしいと思わないか　|　你不觉得奇怪吗
S1 EP11：本物の魔王のことを誰も知らない　|　没有人知道真正魔王的事
S1 EP11：私も　お前も　|　包括我和你
S1 EP11：言葉にして口にすることもない　|　没有人谈起过
S1 EP11：本物の魔王がどれだけ恐ろしい者であったか　皆が知っているのに　|　明明大家都知道真正的魔王有多可怕
S1 EP11：だがきっと　我々もいずれ　知らなければならないのだろうな　|　但肯定 我们迟早会知晓的吧
S1 EP11：俺は字が読めん　|　我不识字
S1 EP11：ならば誰かに読んでもらえ　|　那就找人帮你读
S1 EP11：最後の地を何度か探らせたが　|　我多次派人探索最终之地
S1 EP11：調査部隊はことごとく阻まれた　|　但调查部队总是受阻
S1 EP11：やはりあの地には　正体不明の怪物がいる　|　果然那地方有真身不明的怪物
S1 EP11：未踏の地だ　|　是无人踏足之地
S1 EP11：だが　わずかに調査の及んだ場所もある　|　但也有几处调查到的地方
S1 EP11：勇者の死体も魔王の死体も　まだ見つかっていない　|　勇者和魔王的尸体 都还没有找到
S1 EP11：それを教えてもらえれば十分だ　|　知道这些就足够了
S1 EP11：もっと働いてあんたを助けてやれただろうな　|　要是我再努力些 也许能救下你吧
S1 EP11：これ以上の報酬はどうやっても渡せんよ　|　但我也没法给你更多报酬了
S1 EP11：もはやどこへなりと行け　|　想去哪去哪吧
S1 EP11：このような将の下にいたと知られれば　|　被人知道你曾在这种将领手下
S1 EP11：貴様の利益にもならんだろう　|　对你也没什么好处
S1 EP11：あんたに引導を渡すヤツもすぐ現れるだろうしな　|　送你上路的人应该也快来了
S1 EP11：王の器か　|　帝王之才吗
S1 EP11：あんたなら悪くない王になれると思っていた　|　我曾以为你会成为一个不错的帝王
S1 EP11：間違えるな　|　别搞错了
S1 EP11：魔王だ　|　我是魔王
S1 EP11：なあ　あんただって　そろそろ逃げないとマズいぞ　|　喂 你再不逃就来不及了
S1 EP11：うるさい　|　闭嘴
