EP01 IN
EP01：こっちだ　早く　|　在这边 快点
EP05：今日はまた随分妙な連中が増えたね　|　今天又多了些奇怪的家伙呢
EP05：貴様も名乗れ　ダカイ　|　你也做个自我介绍 达凯
EP05：そっちの骸魔は槍使いか　|　那边的骸魔是使枪的吗
EP05：音斬りシャルクだ　|　我是斩音夏鲁库
EP05：根獣のほうは…　|　根兽的话…
EP05：ちょっと何するのか予想がつかないな　|　就有点想不到是干什么的了
EP05：そもそも　顔どこにあるか分かんないし　|　都看不出脸在哪
EP05：海たるヒグアレと申します　|　我叫大海的希尔古雷
EP05：よろしく　|　请多关照
EP05：見たところ　普通のナイフか　|　看起来只是普通的刀
EP05：体に何本か仕込んでるな　|　在身体里藏了好几把
EP05：貴様と同じく信頼に足る強兵だ　|　他们跟你一样都是值得信赖的强者
EP05：我々にも本物の魔王のごとく　|　我们也应该像真正魔王那样
EP05：敵軍を畏怖させる個の力が必要だと考えている　|　拥有能让敌军畏惧的个体力量
EP05：その自信はあるか　シャルク　|　你有这个自信吗 夏鲁库
EP05：悪いが俺はヒグアレと違って傭兵だ　|　抱歉 我跟希尔古雷不同 是佣兵
EP05：前払いの報酬を受け取るまで　働くのは流儀に反する　|　在收到预付的报酬之前工作 不合规矩
EP05：分かってるよ　|　我知道的
EP05：お前が求める報酬は　本物の魔王が死んだ「最後の地」の情報だろ　|　你想要的报酬 是真正魔王死时「最终之地」的情报吧
EP05：まさか　そうやっていつも逃げてるわけじゃないよな　|　你该不会一直都是这样跑路的吧
EP05：そっちこそ　|　你才是
EP05：まさか死人ならタダ働きするとでも思ってるのか　|　不会觉得死人就能免费干活了吧
EP05：いいね　|　不错
EP05：口の減らないヤツは嫌いじゃない　|　我不讨厌嘴硬的家伙
EP05：そっちのあんたは妙に静かだけど　|　那边那位倒是安静得出奇
EP05：いつもは何を食ってるわけ　|　你平时都吃什么呢
EP05：紅果は食べません　|　我不吃山楂
EP05：力を見たいとのお申し付けであれば　|　如果是想见识一下力量的话
EP05：今　見せましたが　|　已经给你看了
EP05：見事だ　|　漂亮
EP05：神業だな　|　神技啊
EP05：根獣なら３本の腕を同時に使えるってことか　|　根兽可以同时用三根手吗
EP05：いいえ　|　不对
EP05：42本あります　|　是四十二根
EP05：それは膨大な流血に研ぎ澄まされた　決闘の技を持つ　|　他拥有在庞大流血中锻炼出的决斗技
EP05：それは生命である限り抵抗の能わぬ　絶対致死の毒を秘める　|　他暗藏一切生命都无法抵抗的绝对致死之毒
EP05：それは異形の肉体にて極めた　常軌を逸する無量の剣閃を誇る　|　他掌握异形躯体磨练而出的 超越常识的无量剑闪
EP05：すべてに従いながら　何者にも支配されることのない　|　他是顺从一切却不被任何人支配的
EP05：最も自在なる奴隷である　|　最自由的奴隶
EP05：剣奴　根獣　海たるヒグアレ　|　剑奴 根兽 大海的希尔古雷
EP05：さすがに大荷物は足が遅いな　|　果然带大件货物走得很慢啊
EP05：到着まで３日半ってところか　|　估计还要三天半才能到吧
EP05：クゼ　隊の全員分の寝床はあるのか　|　库瑟 有够全队人用的床铺吗
EP05：ベッドだけなら　教団の救貧院に空室が　|　只是床的话 教团的救济院里有空房
EP05：食事については…　|　至于食物…
EP05：俺の兵が教団に飯をたかるなんて情けないまねするか　|　我的士兵怎么可能做出向教团要饭这种丢人的行为
EP05：お前　教団の始末屋って話だが　|　听说你是教团的杀手
EP05：本当に強いんだろうな　|　真有那么强吗
EP05：もちろんですとも　|　当然
EP05：俺には天使がついてますからね　|　毕竟天使与我同在
EP05：クゼ先生　何年ぶりですか　|　库瑟老师 几年没见了啊
EP05：ただいま　リペルちゃん　|　我回来了 利佩尔
EP05：お客さんが多くてさ　迷惑かけるね　|　客人太多 要给你添麻烦了
EP05：こんばんは　|　晚上好
EP05：はじめまして　|　初次见面
EP05：えっと　リペルちゃんかな　|　是叫利佩尔吧
EP05：はい　二つ目の名は霜葉のリペル　|　是的 别称是霜叶利佩尔
EP05：あの　あなたは？　|　你是？
EP05：濫回凌轢ニヒロ　|　滥回凌轹霓悉洛
EP05：クゼさんに護衛してもらっているよ　|　是库瑟先生现在护卫的对象
EP05：護衛って…　|　护卫是…
EP05：こんな女の子を？　|　这样的女孩？
EP05：いやいや　本当だって　|　哎呀 是真的
EP05：分かってますよ　|　我知道啦
EP05：クゼ先生そういう話とは縁がなかったですから　|　因为库瑟老师和那种事无缘嘛
EP05：分かってもらえて悲しいねえ　ホント　|　你这么清楚还挺让我难过的
EP05：私　着替えてきますね　|　我去换件衣服
EP05：いい子だね　|　真是个好孩子
EP05：私の体について聞かなかった　|　没有问关于我身体的事呢
EP05：囚人扱いだったってことは聞いてる　|　我听说你被当囚犯对待
EP05：出られたのは罪を償ったからか　|　能出来是因为罪赎清了吗
EP05：違う　|　不是
EP05：釈放の代わりに　ヒドウを助けてあげる約束をしただけさ　|　只是以被释放为交换 我答应会帮西多勿
EP05：じゃあ　その約束がなかったとしたらどうだい　|　那如果没这个约定你会怎么做
EP05：どうだろうね　|　谁知道呢
EP05：やっぱり戦ってたんじゃないかな　|　应该还是会战斗吧
EP05：戦うために作られたし　|　毕竟我是为战斗而制造的
EP05：クゼはどうなんだい　|　你呢
EP05：俺は柄じゃないな　|　我不是那种人
EP05：君は武器を持っていないんだろう　|　你没有拿武器吧
EP05：誰かを傷つけるのを怖がってるように見える　|　看起来似乎很害怕伤害别人
EP05：か弱いおじさんをあまりいじめないでくれ　|　别太欺负柔弱的大叔啊
EP05：君だって私と同じように　|　你和我一样
EP05：本物の魔王の時代を生き残ったんだよね　|　都是从真正魔王的时代幸存下来的吧
EP05：そんなのなんの自慢にもならないさ　|　这种事没什么好吹嘘的
EP05：俺には天使がついてる　|　天使与我同在
EP05：だから死ななかった　それだけだ　|　所以我没死 仅此而已
EP05：すごい　|　好棒
EP05：羊乳が入ってる　|　还加了羊奶
EP05：クゼ先生が来たからだって　|　因为库瑟老师来了
EP05：静かに　|　安静点
EP05：ごちそうも暴れてどこかに行っちゃいますよ　|　不然饭菜也会生气逃走哦
EP05：ごめんなさい　余計な気遣いまで　|　对不起 让你们费心了
EP05：いいよ　いいよ　|　没关系
EP05：今はどこの教会も助け合いさ　|　现在每个教会都互相帮助嘛
EP05：突然の話だったのに　よく商人さんたちの部屋も準備できたね　|　明明是突然来访 亏你们连商人的房间也能准备好
EP05：少し前に黄都の部隊の方がここに宿営したことがあって　|　不久前还有黄都的部队在这里留宿过
EP05：黄都の？　|　黄都的？
EP05：今日の商人さんたちは黄都の兵士と違って礼儀正しいし　|　今天的商人们和黄都的士兵不同 都很有礼貌
EP05：逆に助かってるくらい　|　反而是省事了
EP05：その部隊はどうしてここに　|　那个部队为什么会来这里
EP05：黄都二十九官　第六将　ハルゲント様の部隊が　|　是黄都二十九官 第六将 哈鲁甘特大人的部队
EP05：あの燻べのヴィケオンを倒すって　|　去讨伐那个熏灼维凯翁
EP05：ヴィケオン？　|　维凯翁？
EP05：伝承の時代からの黒竜だよ　|　是传说时代就存在的黑龙
EP05：我が名はヴィケオン　恐れよ　|　吾名维凯翁 畏惧吧
EP05：竜退治ごっこなら　おじさんが燻べのヴィケオンじゃないか　|　玩屠龙游戏的话应该是大叔来演熏灼维凯翁吧
EP05：じゃあ　俺は？　|　那我是？
EP05：絶対なるロスクレイだ　|　绝对的罗斯克莱
EP05：いくぞ　|　要上了
EP05：負けないぞ　|　我不会输的
EP05：やるな　|　挺厉害嘛
EP05：変わらないな　クゼ先生　|　真是一点没变啊 库瑟老师
EP05：昔からああだったの　|　以前也是这样吗
EP05：ええ　のらりくらりしてて　|　是啊 一副游手好闲的样子
EP05：威厳なんか全然なくて　|　一点威严都没有
EP05：教団のいろんなことを抱え込んでるのに　|　明明背负着教团的许多事情
EP05：いつも笑ってて　|　还总是笑着
EP05：天使か…　|　天使吗…
EP05：部屋に入れる経路は廊下だけ　|　要进房间就必须经过走廊
EP05：俺はこの長椅子で休むから　|　我在这张长椅上休息
EP05：相変わらず紳士だね　|　你还是这么绅士
EP05：同じ部屋で寝てくれたってかまわないんだよ　|　我不介意和你睡一个房间哦
EP05：おじさんをからかっちゃいけないよ　|　别拿大叔开玩笑啦
EP05：安心して寝てな　|　安心睡吧
EP05：みんな元気そうでよかった　|　大家都很有精神真是太好了
EP05：４年くらい前かな　|　大概是四年前吧
EP05：ここで暮らしていたことがあってさ　|　我曾在这生活过一段时间
EP05：窓の立てつけの悪さとか　|　窗户关不严之类的
EP05：全然変わってないんだよ　|　真是一点没变
EP05：リペルちゃん？　|　利佩尔？
EP05：クゼ先生　|　库瑟老师
EP05：リチアに協力してもらえませんか　|　能请你协助利奇亚吗
EP05：第六将の部隊がやってきたあと　|　第六将的部队来了之后
EP05：リチアの人たちが調査に来たんです　|　利奇亚的人来调查了
EP05：リチアに協力するなら　この教会にも支援をしてくれるって　|　如果能协助利奇亚 他们也会支持这个教会
EP05：私は戦えないけど　クゼ先生なら…　|　虽然我不能战斗 但如果是库瑟老师…
EP05：クゼ先生はとても強いから　|　因为库瑟老师很强
EP05：そっか　|　这样啊
EP05：やっぱりつらい思いをさせちゃったんだな　|　果然还是让你受委屈了啊
EP05：クゼ先生　|　库瑟老师
EP05：でもごめんな　リペルちゃん　|　但是对不起 利佩尔
EP05：君の助けにはなれない　|　我帮不了你
EP05：俺の救い方じゃ　ダメなんだ　|　用我的救赎方法 是行不通的
EP05：悪いね　ホント　|　真的很抱歉
EP05：待って　この人は殺さないで　|　等等 请别杀这个人
EP05：射線の邪魔だ　|　别挡着弹道
EP05：その男は黄都とつながっているぞ　|　这个男人和黄都有关系
EP05：第六将とやらが余計な動きをしたせいか　|　是因为那个第六将做了多余的举动吗
EP05：ひどい世の中だよ　まったくさ　|　真是世间险恶啊
EP05：商人どもの身分も偽装だな　|　那些商人的身份也是伪装吧
EP05：通り禍のクゼ　|　擦身之祸库瑟
EP05：受けがうまいぞ　|　格挡很熟练啊
EP05：生け捕りは諦めよう　|　放弃活捉吧
EP05：了解　|　明白
EP05：頼む　殺さないでくれよ　|　拜托 别杀我啊
EP05：もらった　|　拿下了
EP05：だから　殺さないでくれって言ったんだ　|　所以我说别杀我啊
EP05：毒か　|　是毒吗
EP05：暗器かもしれん　|　可能是暗器
EP05：距離を取って射撃だ　|　保持距离射击
EP05：こいつ　なんだ　|　这家伙 怎么回事
EP05：習ったことはなかったか　|　你没学过吗
EP05：小さな頃に教会で授業を受けたことは　|　小时候有没有在教会里听过课
EP05：悪いことをすると　天使様の罰を受けるってさ　|　做坏事会受到天使的惩罚
EP05：危ないところだったね　|　真是危险啊
EP05：ありがとう　ニヒロ　|　谢谢 霓悉洛
EP05：ごめんなさい　クゼ先生　|　对不起 库瑟老师
EP05：殺そうなんて　私は…　|　我没想到会杀你…
EP05：分かってる　|　我知道
EP05：リペルちゃんは何も悪くないさ　|　利佩尔没做错什么
EP05：ごめん…ごめんなさい　|　对不起…对不起
EP05：リペルちゃん　おなか見せてくれるか　|　利佩尔 能让我看看你的肚子吗
EP05：腎臓を貫通してるね　|　穿透肾脏了啊
EP05：みんなが幸せになれたら　|　只要大家都能幸福的话
EP05：私もクゼ先生みたいに…　|　我也想像库瑟老师一样…
EP05：リペルちゃん　ごめん　|　利佩尔 对不起
EP05：俺こそ　ごめんよ　|　我才应该说对不起
EP05：ニヒロは一度　死んだことがあるよな　|　霓悉洛你曾经死过一次吧
EP05：死んだ時に天使を見たか　|　你死的时候看见天使了吗
EP05：天使なんて　誰かの勝手な想像だと思うよ　|　我觉得天使什么的只是某人的妄想吧
EP05：まあ　俺も実はそう思ってる　|　其实我也是这么想的
EP05：だけど　天使はいるんだ　|　但是 天使是存在的
EP05：天使もさ　寂しがってるんだと思うよ　|　我想天使 也觉得寂寞吧
EP05：クゼはずっと　|　库瑟你一直
EP05：天使を見ていたのかい　|　看着天使吗
EP05：どうだろうな　|　不知道
EP05：それでも天使様のほうは俺を見てるんだ　|　但天使大人还是一直在看着我
EP05：だから俺を殺そうとする者を殺す　|　所以杀了那些想杀我的人
EP05：名前はあるの　|　有名字吗
EP05：名前？　|　名字？
EP05：天使の名前だよ　|　天使的名字
EP05：そっか　誰にも教えたことはなかったな　|　对啊 我从来没告诉过别人
EP05：リペルちゃんにも…　|　就连利佩尔也…
EP05：知ってるよ　名前は…　|　我知道 名字是…
EP05：それはただ１人を除いた　この世の誰にも知覚されることはない　|　她在这个世界上除了一人之外无人能够察觉
EP05：それは非実在の意識体であり　いかなる手段でも干渉されることはない　|　她是非真实存在的意识体 任何手段都无法干扰
EP05：それは創世のその時から続く　生命停止の絶対の権能を保有している　|　她诞生于创世之时 拥有令生命停止的绝对权能
EP05：ただ静かに訪れ　目に見えぬまますべてを奪っていく　|　她只是静静地来访 在无形中夺走一切
EP05：死の運命の具現である　|　是死亡命运的化身
EP05：天使の名前は…　|　天使的名字是…
EP05：暗殺者　天使　静かに歌うナスティーク　|　暗杀者 天使 静歌娜斯缇库
EP05：#利奇亚中央城塞
EP05：#根兽 在森林等地栖息的植物智慧体。拥有微量即可溶解神经细胞并迅速致死的剧毒。
EP05：#莱希山间村落
EP05：#人类 擦身之祸库瑟
EP05：#人类 霜叶利佩尔
EP05 OUT

