EP01 IN
EP01：行ってきます　|　我出门啦
EP05：なんかすみません　|　麻烦你了
EP05：先生　なんだかとてもうれしそう　|　老师好像很开心的样子
EP05：よっぽど料理が好きなのかな　|　她很喜欢做饭吧
EP05：関東地方では　今夜からにわか雨が降るところがあるでしょう　|　关东地区 今晚大概率会下阵雨
EP05：私も手を合わせていいでしょうか　|　我也来拜一下可以吗
EP05：何してるの　|　在干什么
EP05：亡くなった人にご挨拶してるんだよ　|　在向逝者行礼
EP05：こうしてお供えをしてね　|　像这样供奉着
EP05：そこに死んだ人がいるの　|　那里有死去的人吗
EP05：きっとそのはずよ　|　一定有的
EP05：それじゃあ　ごはんにするわね　|　我们吃饭吧
EP05：お待たせ　ごはんできたわ　|　久等了 饭做好了
EP05：ありがとうございます　|　谢谢
EP05：残り物で恐縮だけど　|　抱歉 都是些剩下的
EP05：刻みしょうがとごま塩を振ったおにぎりと　|　撒上生姜末和芝麻盐的饭团
EP05：きんぴらごぼう　にんじんとさんしょう　しいたけ　れんこんの煮物　|　以及牛蒡丝 花椒萝卜 香菇 煮莲藕
EP05：そして　ふきよ　|　还有 蜂斗菜
EP05：お弁当箱の歌だ　これ　|　这简直就是便当大全
EP05：あまりの地味さに　乙ちゃんの顔に早くも絶望が表れている　|　因为过于朴素 绝望已经早早写在小乙脸上了
EP05：いただきます　|　我开动了
EP05：おいしい　彩りは一切ないのに　|　好吃 明明一点也不华丽
EP05：体にもいいのよ　|　对身体也很好哦
EP05：もうこんな時間か　|　已经这个时间了啊
EP05：そろそろおいとましよう　乙ちゃん　|　差不多该走了 小乙
EP05：帰っちゃうの　|　要回去吗
EP05：泊まっていっていいのよ　|　在这里过夜也可以哦
EP05：いえ　そこまでごやっかいになるわけには　|　算了吧 那也太麻烦你了
EP05：天気も崩れるみたいだし　|　天色也不太好
EP05：ここにいたほうがいいんじゃない　|　待在这不是更好吗
EP05：でも　|　但是
EP05：そうだ　|　对了
EP05：明日の朝食には　おいしいプリンがあるのよ　|　明天的早饭里 会有好吃的布丁
EP05：布団をくっつける必要あります　|　有必要把被褥靠一起吗
EP05：憧れてたの　|　我想这么做很久了
EP05：みんなで川の字になって寝るの　|　大伙成一个川字睡觉
EP05：緒川さん　真ん中にしてあげるね　|　绪川小姐 就让你睡中间吧
EP05：さあ　寝ましょ　|　那么 睡觉吧
EP05：布団の境目　寝づらいな　|　被褥的拼接处 好难睡着
EP05：そうだ乙ちゃん　お兄さんに連絡を　|　对了小乙 和你哥哥说一声吧
EP05：寝つくの早っ　|　入睡好快
EP05：きっと　緊張してたのね　化野さん　|　化野同学之前一定很紧张吧
EP05：それはどうかなあ　|　难说
EP05：緒川さん　|　绪川小姐
EP05：ありがとう　|　谢谢你
EP05：おばあちゃんに手を合わせてくれて　|　祭拜我的奶奶
EP05：緒川さんはやめてください　|　还是别叫我绪川小姐了
EP05：友人は菫子って呼びます　|　朋友都叫我堇子
EP05：じゃあ　菫子さん　|　那么 堇子小姐
EP05：ありがとうね　|　谢谢你
EP05：おばあちゃん　|　奶奶
EP05：蓮兄　|　莲哥
EP05：眠れる気がしない　|　完全没有睡意
EP05：足りないから他にも怪異を探せってさ　|　人家说这个不够 再去找点怪异来
EP05：でも　|　但是
EP05：乙は必ず元の世界に戻してやるから　|　我肯定会让你回到原本的世界
EP05：蓮兄　|　莲哥
EP05：帰るなら２人一緒だよ　蓮兄　|　当然要两个人一起回去 莲哥
EP05：違う　普通の標識だ　|　不对 只是普通的路标
EP05：見つけたぞ　|　找到你了
EP05：化け物め　|　怪物
EP05：やめろ　|　住手
EP05：団地妻　|　团地妻
EP05：無事か　乙ちゃん　|　没事吧 小乙
EP05：邪魔するなよ　|　别来捣乱
EP05：用があるのはその化け物だ　|　我找的是那个怪物
EP05：この子が化け物のわけないだろう　|　这孩子怎么会是怪物
EP05：落ち着け　|　冷静点
EP05：どうせ　そう言うと思ってたさ　|　我就猜到你会这么说
EP05：だから落ち着けって　|　叫你冷静点
EP05：信じないとは言ってないだろ　|　也没说不相信你
EP05：その手の話には縁があるんだ　|　我与那种东西有缘
EP05：相談なら乗ろうじゃないか　|　有什么话要商量随时欢迎
EP05：シズク　見える　|　雫 能看见吧
EP05：「アレ」がまた来たの　|　「那个」又来了
EP05：雨の夜にノックして　ドアを開けようとしてくるヤツ　|　在雨夜敲门 想把门打开的家伙
EP05：前　扉を開けたら　赤い服の子どもがチラッと見えたの　|　上次我打开门 瞥见一个红衣服的小孩
EP05：今日こそ捕まえてやる　|　今天一定要抓住这家伙
EP05：今からドアを開けるから　何かあったら警察に連絡して　シズク　|　我现在要开门了 要是我有个万一你就报警 雫
EP05：開けるよ　|　要开门了
EP05：あなた何して　|　你在干什么
EP05：このビデオ通話を最後に　トモコは行方不明になった　|　这通视频电话之后 智子失踪了
EP05：１年だ　|　已经一年了
EP05：１年間ずっと　雨の夜に現れる赤い服の子どもを探してきた　|　一年来我一直在寻找雨夜现身的红衣服小孩
EP05：だがこんな話　誰も信じてくれなかった　|　但这种话 谁也不相信我
EP05：私もトモコも天涯孤独で　|　我和智子都举目无亲
EP05：一緒に探してくれるヤツなんて　誰もいない　|　没人会一起帮忙找她
EP05：手がかりは　この動画だけ　|　线索只有这个视频
EP05：それでも　私はいなくなったトモコを絶対に連れ戻すんだ　|　哪怕这样 我也一定要把消失的智子找回来
EP05：はい　そうですか　|　是这样吗
EP05：一緒にお風呂屋さんにも　|　还一起去澡堂洗澡
EP05：はい　乙が大変お世話になりました　|　好的 谢谢你这么照顾乙
EP05：その女性の話はだいたいわかりました　|　那位小姐说的我大概明白了
EP05：僕もすぐここから戻ります　|　我马上动身回去
EP05：それはあくまでも応急処置だからね　化野君　|　化野君 那不过是应急措施
EP05：わかってる　|　我知道
EP05：いいか　絶対に…　|　记住 千万别…
EP05：無理はしないよ　おっさん　|　我不会逞强的 大叔
EP05：さて　こいつは切符になるかな　|　这家伙能换成车票吗
EP05：フォンイーシャオニュイハイ　|　红衣小女孩
EP05：そんなことより　|　比起这种事
EP05：入浴シーン見逃したよ　|　我居然错过了入浴场景
EP05：何言ってんだ　コイツ　|　这家伙在说什么啊
EP05：次回　怪異とメイドとお嬢様　|　下集 怪异与女仆与大小姐
EP05：#高岭女子学院
EP05：#注：一种面筋零食，上文天地和给化野乙的那个
EP05：#澡堂 自助洗衣房
EP05：#冷饮
EP05：#南部饼干 砂糖饼干 迷你栗子馒头 汽水糖 八桥饼 果冻 蟹满月馒头 巧克力酥饼 豆板塘
EP05：#今晚的天气预报 琦玉
EP05：#老师抱歉 突然有急事 我们先回去了 多谢款待 堇子
EP05 OUT

