EP01 IN
EP01：あすトろ…　|　外星…
EP09：私がフラれないように　その前にちゃんとフッてくれた　|　在我被甩之前就好好地拒绝我了
EP09：失恋したわりに明るいな　|　失恋了但还挺高兴嘛
EP09：自分が持ってないと思い込んでたけど　|　有些我自认为缺失的东西
EP09：自分じゃ気づいてないだけで　|　其实只是自己没有发现
EP09：本当はとっくに持ってたんだってことに気づけたの　|　是他让我察觉到 我早已拥有这些
EP09：そういうものが　もっとほかにもあるのかもって思えて　|　一想到这样的东西可能还有很多
EP09：なんか　視点が変わったっていうか　すっきりした　|　就像变换视角一样 一下子畅快了
EP09：よく分からんが　すっきりしたなら良かった　|　虽然没太明白 但你高兴就好
EP09：私もそろそろ　あすトろ荘の外の世界に出てみようかな　|　我也差不多该看看外星庄以外的世界了
EP09：ずっと会話のリハビリしてくれた　ハチさんのおかげ　|　也多亏了八先生一直陪我练习说话
EP09：ありがとう　|　谢谢你
EP09：俺は何もしちゃいないさ　|　我也没做什么
EP09：そうだ　ナオスケって犬がいるでしょう　|　对了 不是有只叫直介的狗吗
EP09：ほら　大家さんとこのペット　|　就是房东那只宠物
EP09：ああ　はいはい　いるね　いる　|　啊 有 是有一只
EP09：蓮くんがね　ナオスケは犬じゃなくて　|　莲君跟我说直介不是狗
EP09：猫だっていうの　|　说它是猫
EP09：猫？　|　猫？
EP09：昔のアニメに出てくる猫みたいに　ネズミを追いかけてるところを見たんだって　|　因为他看到直介像老动画片里的猫一样追老鼠
EP09：そ…そりゃいいや　|　真…真有意思
EP09：猫か　猫ね　|　猫吗 是猫啊
EP09：ナオスケって　どこからどう見ても犬でしょう　|　直介怎么看都是狗啊
EP09：私　犬が苦手だから　ナオスケも苦手なんだよね　|　我不太喜欢狗 应该也应付不来直介吧
EP09：おはようございます　|　早上好
EP09：おはようございます　|　早上好
EP09：あの　宮坂さん　|　那个 宫坂先生
EP09：あとでお話があるんですけど　いいですか　|　等下有事情想跟你说 你有空吗
EP09：ハチさん？　|　八先生？
EP09：#外星庄
EP09：#>>>查看详情
EP09：#想立刻来钱的人必看！
EP09：#月薪21万日元以上!!
EP09：#正式员工 无加班
EP09：#节假日加双休 涨薪机会
EP09：#点击查看详情！
EP09：#【迅速涨薪!】能在当红餐饮店工作！
EP09：#欢迎无工作经验者！
EP09：#正式员工 出国培训制度 无需经验
EP09：#NEW！最新发布
EP09：#第35届厨师竞赛结果发表!!冠军得主是最年轻的宫坂拓己！
EP09：#教学参观通知
EP09：#注：超市打烊前处理滞销商品的手段
EP09：#今日菜单 炸虾 味噌汤
EP09：#今日菜单 生姜烧 味噌汤
EP09：#早餐是生命之源
EP09：#Terurun演唱会的日子就要到了
EP09：#照子在烦恼要不要继续做偶像
EP09：#戈休星人又派来新的刺客
EP09：#目标不是米拉而是拓己!?
EP09 OUT

EP10 IN
EP10：おはよう　|　早安
EP10：おはようございます　|　早上好
EP10：疲れた　|　累死了
EP10：どうしたんですか　こんな朝早くから　|　怎么这么早起来去跑步
EP10：体作り　もうすぐライブあるの　|　身材管理 毕竟快要演唱会了
EP10：さすがにキツイ　|　不过是真累
EP10：あした　筋肉痛だな　こりゃ　|　明天免不了肌肉痛了
EP10：あの　宮坂さん　|　那个 宫坂先生
EP10：あとでお話があるんですけど　いいですか　|　等下有事情想跟你说 你有空吗
EP10：話って　なに　|　是有什么事
EP10：ちょっと待ってくださいね　|　稍微等一下
EP10：早く早く　皆さん　待ってるんだから　|　快点快点 大家都等着呢
EP10：あすトろ荘の住人になりました　|　新搬来外星庄的
EP10：ショーイン・ジンジャーさんです　|　松阴壬邪先生
EP10：どうも　|　你们好
EP10：まさか　ミラさんの部屋に　|　难道他要住米拉小姐房间
EP10：違いますよ　８号室です　|　不是 他住八号房
EP10：近くにお住まいなんじゃなかったでしたっけ　|　你不是在附近有房子吗
EP10：なんで　またこちらに　|　为什么搬来这里
EP10：せっかく来たんだから　|　难得来了
EP10：この星での暮らしを体験してみるのもいいんじゃないかって　|　我也想体验一下这颗星球上的生活
EP10：星？　|　星球？
EP10：この町でしょう　|　是这座城镇吧
EP10：もう　ショーインは　時々言葉がアレですけど　|　松阴真的是 有时会说些奇怪的话呢
EP10：気にしないでください　|　请大家别在意
EP10：それにしても　こんな狭い所にこんな大勢で住んでいるなんて　|　话说回来 这么小的地方居然住着这么多人
EP10：信じられないな　|　真是难以置信
EP10：あなたは使用人なんでしたっけ　|　你是佣人来着
EP10：料理人です　|　我是厨师
EP10：楽しみだなあ　|　好期待啊
EP10：一度　食べてみたかったんですよ　下々の者がふだん食べている物を　|　早就想尝尝庶民平常吃的食物了
EP10：確かにアレだわ　|　确实有点奇怪
EP10：アレすぎて　もはやすがすがしい　|　过于奇怪了 反而让人觉得爽快
EP10：あの…　|　那个…
EP10：君は？　|　你是？
EP10：ハチさん？　|　八先生？
EP10：７号室の葵ちゃんでしょう　|　你是七号房的小葵吧
EP10：やっと会えた　|　总算见到你了
EP10：ミラからいろいろと聞いてるよ　|　听米拉讲了很多关于你的事
EP10：ミラさんが？　|　米拉小姐？
EP10：とてもかわいい女の子がいるって　|　她说这有位很可爱的女孩
EP10：お隣さん同士　よろしくね　|　邻居一场 请多关照
EP10：いいか　ここの住人に　余計なことしゃべるな　|　听好了 别和这里的住户说些有的没的
EP10：見てよ　ナオスケ　|　快看 直介
EP10：ちょっと物を置いただけで　|　就放了一件东西
EP10：部屋いっぱいだよ　|　房间就快满了
EP10：広い宇宙のこんな狭い空間で暮らしているなんて　|　置身广袤宇宙却蜗居在如此狭小的空间
EP10：地球人というのは不思議な生き物だ　|　地球人真是不可思议的生物
EP10：さあ　鍵を捜さなくちゃ　|　来吧 得开始找钥匙了
EP10：なにも　ここに越してこなくてもいいだろう　|　没必要特地搬到这里来吧
EP10：ナオスケがちゃんと仕事してくれないからだよ　|　都是直介你没有尽到职责
EP10：ああ　|　什么
EP10：ミラを守り　鍵を見つけ　一刻も早くミボー星に連れて帰る　|　保护米拉 找出钥匙 尽快带回米博星
EP10：それが君の仕事じゃないか　|　那不就是你的工作吗
EP10：それなのに　鍵は見つかってないし　|　可你既没有找到钥匙
EP10：何度もゴシュ人のスパイに襲われている　|　还多次被戈休人的间谍袭击
EP10：僕がミラを守らないと　|　必须由我来保护米拉
EP10：この星に長くいればいるほどつらい思いをするのは　ミラなんだ　|　在这颗星球上待得越久 将来米拉受到的伤害越重
EP10：今度　テルルンのライブがあるんですよ　|　最近有Terurun的演唱会
EP10：松原さんが言ってたやつだ　|　松原小姐之前提过
EP10：良かったら　一緒に行きませんか　|　方便的话 要不我们一起去
EP10：行きたいです　|　我要去
EP10：じゃ　チケット取っておきますね　|　那我先把票买好
EP10：ありがとうございます　|　谢谢你
EP10：それと　その日　ライブは夜からなので　|　还有 那天的演唱会是在晚上
EP10：ちょっと早めに出て　何か　おいしい物でも食べに行きませんか　|　我们早点出门 去吃点好吃的怎么样
EP10：おいしい物？　|　好吃的？
EP10：何ですか　|　是指什么
EP10：いや　まだ決めてないんですけど　|　这个 我还没想好
EP10：何か食べたい物あります　行きたい店とか　|　你有什么想吃的东西或者想去的店吗
EP10：水族館　|　水族馆
EP10：おいしそうな魚がたくさんいるって　|　好像有很多看着很好吃的鱼
EP10：水族館の魚は食べられませんよ　|　水族馆的鱼可不能吃哦
EP10：なあんだ　|　什么嘛
EP10：行ったことないんですか　水族館　|　你没有去过水族馆吗
EP10：ないです　|　没有
EP10：一度　行ってみたいなと思ってて　|　但我一直想要去一次
EP10：じゃ　その日は　水族館行ってライブに行きましょうか　|　那当天 我们就先去水族馆再去演唱会吧
EP10：はい　|　好
EP10：じゃ　そういうことで　|　那就这么决定了
EP10：よろしくお願いします　|　麻烦你了
EP10：では　|　拜拜
EP10：はーい　|　好
EP10：しゃっ　|　好
EP10：しゃっ　|　好
EP10：しゃっ　|　好
EP10：おっしゃー　|　好耶
EP10：そんなにうれしいんですか　デート　|　约会有那么高兴吗
EP10：まあ　そうですよね　|　不过也是
EP10：ショーインさんがここに越してきたから　圧倒的に負けてる　|　松阴先生搬来后 你输得是一塌糊涂
EP10：宮坂くんとしては焦りますもんね　|　也是该着急了
EP10：べ…別に　そんなこと　|　才…才没有那样
EP10：安心してください　私は宮坂くんの味方です　|　放心吧 我站在你这边
EP10：やっぱり　何も持ってない貧乏人が　|　果然还是想看一无所有的穷小子
EP10：金・顔・地位　全てを持ってる人に勝つ奇跡を見たいですからね　|　奇迹般赢过有钱有颜还有地位的人
EP10：奇跡って　|　什么奇迹啊
EP10：いただきます　|　我开动了
EP10：ショーイン　これは納豆　|　松阴 这是纳豆
EP10：こうやってね　よーくかき混ぜて　|　要像这样 仔细地搅拌
EP10：ご飯にのっけて　|　倒在米饭上
EP10：食べる　|　开吃
EP10：おいしい　|　好好吃
EP10：この納豆というものは　|　这个叫纳豆的食物
EP10：宇宙で餓死しそうなときなら　何杯でもおかわりしたくなる味だね　|　等我在宇宙快饿死的时候 或许会想来上几碗
EP10：でしょう　|　对吧
EP10：これは？　|　这是？
EP10：シャケ　|　鲑鱼
EP10：シャケはね　もちろん　ふっくらした身もおいしいけど　|　鲑鱼啊 虽然鱼肉软软的很好吃
EP10：私が好きなのは　|　但我最喜欢的
EP10：何といっても　この皮　|　还是它的鱼皮
EP10：幸せ　|　好幸福
EP10：美味　|　美味
EP10：宮坂さんが作る朝ご飯は　全部おいしいんだから　|　宫坂先生做的早餐全都很好吃
EP10：光栄です　|　多谢夸奖
EP10：ホント　すばらしいな　|　真的 太美味了
EP10：こんなおいしい物を作れるなんて　|　居然能做出这么好吃的食物
EP10：俺が勝ってるものだってあるじゃないか　|　我这不也有能赢过他的点吗
EP10：どうしたの　これ　|　这是怎么了
EP10：皆さんが　歓迎会という名の僕のパーティーを催してくださると聞いて　用意したんだ　|　听说大家要给我开欢迎会 我就准备了这些
EP10：作ったの　|　你做的吗
EP10：まさか　全て買いました　|　怎么可能 全都是买的
EP10：あれ　このジェエル・カブションって　|　难道 这个若埃尔·卡比雄
EP10：あの三つ星レストランの高級フレンチ？　|　是那家三星高级法国餐厅？
EP10：安かったので　|　挺便宜的
EP10：これ　なに　|　这是什么
EP10：キャビアだ　|　是鱼子酱
EP10：安かったから　|　也挺便宜的
EP10：しかも…　|　甚至…
EP10：シャンパンまで　|　还有香槟
EP10：とても安かったので　|　这个也很便宜
EP10：それでは　ショーインさん　|　那么 松阴先生
EP10：ようこそ　あすトろ荘へ　|　欢迎来到外星庄
EP10：乾杯　|　干杯
EP10：乾杯　|　干杯
EP10：料理は愛情　|　料理讲究的是心意
EP10：金払えば　うまい物食べられるとは　|　光是付钱还不一定能吃到美味
EP10：うまい　|　好好吃
EP10：敵の財力にはかないませんねえ　|　还是敌不过对手的财力啊
EP10：おいしい　|　好好吃
EP10：宮坂さんが作る朝ご飯とは　また違った感じだな　|　和宫坂先生做的早餐相比 又是另一番风味啊
EP10：一流シェフが作るフレンチと比べたら　そりゃあ　ねえ　|　和一流主厨做的法餐相比还是太严格了 对吧
EP10：大丈夫　|　没事的
EP10：宮坂くんだってそのうち一流になりますよ　今はまだ三流でも　|　就算现在还是三流 我也相信你能成为一流
EP10：悪かったですね　三流で　|　三流主厨对不住你了
EP10：どうしたんですか　|　怎么了
EP10：ナナミーが結婚？　|　七海结婚了？
EP10：ナナミー？　|　七海？
EP10：日本の元アイドルですよ　|　是日本的前偶像
EP10：IT社長かよ　|　对方是IT公司老板
EP10：クッソー　ナナミー　お前もか　|　该死 七海 连你也这样
EP10：クソ　|　该死
EP10：クソなんですか　|　很该死吗
EP10：宮坂くんは今　金持ちへの妬みそねみの渦に溺れているんです　|　宫坂君正身陷对富人的嫉妒漩涡中
EP10：ナナミーって　36歳だったんだ　|　七海 36岁了啊
EP10：若く見えますね　|　看着好年轻啊
EP10：さすが元アイドル　|　真不愧是前偶像
EP10：おやすみなさい　|　晚安
EP10：あの…　|　那个…
EP10：あの　８号室の…　|　请问 八号房的…
EP10：ショーイン？　|　松阴？
EP10：いや　その前にいた　|　不是 是之前住在那里的
EP10：前？　|　之前？
EP10：ショーインの前は誰もいないけど　|　松阴搬来前没人住在那里
EP10：どうかしましたか　|　发生什么了吗
EP10：いえ　|　没事
EP10：おはようございます　|　早上好
EP10：おはようございます　|　早上好
EP10：今日の朝ご飯　何ですか　|　今天的早饭是什么呢
EP10：今日は…　|　今天的话…
EP10：待って　|　等下
EP10：やっぱり言わないでください　|　还是不要说了
EP10：楽しみが減っちゃう　|　期待会降低的
EP10：じゃ　お楽しみに　|　那敬请期待
EP10：おっは　|　早
EP10：松原さん　|　松原小姐
EP10：どうしたんです　|　你怎么了
EP10：竹の子　|　竹笋
EP10：松原さん　|　松原小姐
EP10：竹の子が下から生えてきたんだから　|　都怪竹笋从地下长出来了
EP10：長年ここに住んでいるけど　竹が生えたことはないな　|　我在这里住了这么久 从来没见长过竹笋
EP10：本当だってば　ねえ　|　我说的是真的 对吧
EP10：えっと　よく見えなかったな　|　这个 我也没看清楚
EP10：ともかく　|　不管怎样
EP10：その脚ではライブは難しいんじゃ　|　你脚这个样子很难参加演唱会啊
EP10：いやいや　これくらい平気だし　|　没事没事 这点小伤没问题的
EP10：ほら　|　你看吧
EP10：痛い　|　好痛
EP10：間違いない　|　毫无疑问
EP10：ゴシュ人のスパイだ　|　是戈休人的间谍
EP10：土の中から　やって来たのか　|　从地下攻击的吗
EP10：鍵があるという情報が漏れたんだろう　|　估计已经知道钥匙的情报了吧
EP10：クソ　|　该死
EP10：今この瞬間も　土の中で鍵を捜している　|　想必现在 他们也在地下找钥匙
EP10：脚のケガ　本当にごめんなさい　|　你脚上的伤 真的很抱歉
EP10：なんでミラさんが謝るの　|　为什么你要道歉啊
EP10：私のせいです　私がしっかりしてないから　|　这是我的错 都怪我没能尽职
EP10：たとえ大家さんでも　あんな竹の子が生えてくるのは予測できないっしょ　|　就算是房东 也想不到那里会长出竹笋吧
EP10：できた　|　做完了
EP10：どう　かわいくない　|　怎么样 很可爱吧
EP10：今度のライブでお披露目するから　|　我想在这次的演唱会上穿着亮相
EP10：ケガしてるのに　ライブやるんですか　|　你都受伤了 还要继续演出吗
EP10：当ったり前　|　当然
EP10：ムリしなきゃ大丈夫　|　当心点就没问题
EP10：肩こった　|　肩膀好酸
EP10：ちょっと　もんでもらっていい　|　能帮我揉揉吗
EP10：ねえ　ミラさんって　なんで大家さんになったの　|　你为什么会成为房东呢
EP10：まあ　成り行きですかね　|　自然而然吧
EP10：ちっちゃいころは　何になりたかった　|　你小时候想做什么呢
EP10：考えたことなかったです　|　我没想过
EP10：ウソ　夢とかやりたいこととか　そういうの何もなかったの　|　真的假的 梦想啊想做的事啊 一个也没有吗
EP10：ですね　|　没有呢
EP10：もうちょっと右　|　再稍微右边一点
EP10：そう　そこ　|　就是这
EP10：私　なんでアイドルなんか好きになっちゃったんだろうな　|　我 到底为什么会爱上偶像这个职业呢
EP10：努力すればなれるものを好きになれば　|　做点努力就有回报的工作
EP10：もっと楽に生きられたのに　|　明明能活得更轻松些
EP10：今は楽じゃないんですか　|　你现在很辛苦吗
EP10：私ね　ナナミーと同期なの　|　我和七海是同期生
EP10：ナナミーって　結婚された　|　七海 是结婚的那位吗
EP10：昔　同じオーディション受けたことがあったんだよね　|　很久之前 我们参加过同一场试镜
EP10：そのとき　審査員特別賞を受賞したのがナナミーでさ　|　那时 七海获得了评委特别奖
EP10：あのとき　選ばれたのが私だったら　|　要是当时获奖者是我的话
EP10：今ごろ　IT社長と結婚してたりして　|　现在和IT公司老板结婚的就是我了吧
EP10：それは　クソですね　|　这就叫该死吧
EP10：確かにクソだわ　|　确实很该死呢
EP10：やっぱり危ないから　中へ入ってて　|　还是太危险了 你先回屋去
EP10：平気　|　我没事
EP10：平気じゃない　|　没事才怪
EP10：ミラに何かあったら…　|　要是你出了事…
EP10：ただいま　|　我回来了
EP10：宮坂さん　|　宫坂先生
EP10：はい　|　怎么了
EP10：水族館　楽しみにしてたんですけど　|　虽然我一直很期待去水族馆
EP10：楽しむ気分になれなくて　|　但现在我没心思享受了
EP10：すみません　|　对不起
EP10：しかたないですよ　|　这也是没办法的事
EP10：あんなことがあったんですから　|　发生了那种事情
EP10：でも　ライブは行きますよね　|　但是 演唱会还是要去的吧
EP10：もちろん　|　当然了
EP10：じゃ　一緒に行きましょう　|　那就一起去吧
EP10：はい　|　好
EP10：おはよう　|　早安
EP10：おはようございます　|　早上好
EP10：随分早いですね　|　你起得真早啊
EP10：今日は何を作るの　|　今天要做什么
EP10：オムレツです　|　西式蛋饼
EP10：僕に教えてくれないかな　|　能教教我吗
EP10：オムレツの作り方　|　蛋饼的做法
EP10：まずは　卵をボウルに割ってください　|　先把鸡蛋打到碗里
EP10：ボウル？　|　碗？
EP10：これがボウルです　|　就是这个
EP10：君はボウルっていうのか　|　原来你就叫碗啊
EP10：こいつ　できる　|　这家伙 真厉害
EP10：おいしい　|　真好吃
EP10：言われなければ　ショーインさんが作ったって　分からないですね　|　要是不说的话 都想不到这是松阴先生做的
EP10：僕　これ好き　あしたも作って　|　我喜欢这个 明天也做吧
EP10：料理の才能も持ってるのかよ　|　连做饭都这么有天赋
EP10：ミラ　これ　とっても便利だよ　|　米拉 这个很方便哦
EP10：ほら　こうやって　熱々の焼きたてパンを　|　看 能把刚出炉的烫手面包夹起来哦
EP10：ねっ　いいでしょう　|　怎么样 很棒吧
EP10：師匠　これは何て名前だっけ　|　师傅 这个叫什么来着
EP10：トング　|　夹子
EP10：そうだ　トングだ　|　对 夹子
EP10：ミラ　これはトングだよ　|　米拉 这个就是夹子
EP10：師匠？　|　师傅？
EP10：今日から彼に弟子入りしたんだ　|　今天刚拜他为师
EP10：弟子よ　後片づけまでが料理だぞ　|　徒弟啊 收拾餐桌也是料理的一部分
EP10：イエッサー　|　遵命
EP10：宮坂さん　ご迷惑じゃないですか　|　宫坂先生 是不是给你添麻烦了
EP10：いや　なかなか筋がいいですよ　|　不会 他还挺有天赋的
EP10：ショーインったら　急にどうしたんだろう　料理を習うなんて　|　松阴到底怎么了 突然开始学习做饭
EP10：ミボー星に帰ったときのためだって　|　说是为了回到米博星之后打算
EP10：ミボー星に帰ったときに　ミラの好きな物を作ってあげたいんだ　|　回到米博星后 我想给米拉做她喜欢吃的食物
EP10：俺もミラさんには　ミボー星でおいしい物を食べてほしいから　|　我也希望你在回到米博星后还能吃到美味的食物
EP10：そうだったんですか　|　是这样啊
EP10：宮坂さん　私にミボー星に帰ってほしいのかな　|　宫坂先生希望我回米博星吗
EP10：そうだよね　|　也是呢
EP10：私がいると　ゴシュ人のスパイが襲ってくるし　|　只要我在 戈休人的间谍就会袭击这里
EP10：宮坂さんは　なんで料理人になろうと思ったんですか　|　你为什么想要成为一名厨师呢
EP10：料理が好きだったんです　|　因为我喜欢做饭
EP10：おいしい物を食べてるときって　|　人们吃到美味的食物时
EP10：みんな　幸せそうな顔になりますよね　|　都会露出幸福的表情吧
EP10：おいしい　|　好好吃
EP10：そういうの見るの　好きなんです　|　我喜欢看到人们那种表情
EP10：こっちまで幸せになりますよ　|　我也能从中感受到幸福
EP10：幸せか　|　幸福吗
EP10：ミラさん　本当にミボー星に帰っちゃうのかな　|　米拉小姐真的要回米博星吗
EP10：やっぱり　故郷に帰りたいのかな　|　她还是想回到故乡的吧
EP10：ミラさんは何が好きですか　|　你有什么喜欢的东西吗
EP10：好きなもの？　|　喜欢的东西？
EP10：ラッキーキャット　|　幸运猫
EP10：はい　|　什么
EP10：ほら　あそこ　|　你看那里
EP10：俺　猫好きなんです　|　我很喜欢猫
EP10：偶然見ることができる猫のこと　ラッキーキャットって呼んでるんです　|　碰巧发现的猫咪 我都称之为幸运猫
EP10：あくびした　|　打哈欠了
EP10：今日は　いい日だな　|　看来今天是好日子
EP10：幸せだ　|　真幸福
EP10：ホントだ　|　是的呢
EP10：いつの間にか　周りは若い子ばかり　|　不知何时起 周围尽是比我年轻的人
EP10：お金ないし　人気もないし　|　既没钱又没粉丝
EP10：いつまでこんなこと続ける気　|　难道我要一直这样下去吗
EP10：周りの子が出世したり　マンション買ったり　|　周围的人已是功成名就 买了大房子
EP10：結婚したり　出産したり　|　结了婚 有了孩子
EP10：してるっていうのにさ　|　过着美好的生活
EP10：何やってんだろう　私　|　而我在干什么呢
EP10：からの…　|　一起来…
EP10：ぴゅあぴゅあラブリー右フック　|　纯洁无暇又可爱 看我右勾拳
EP10：ぴゅあぴゅあラブリー右フック　|　纯洁无暇又可爱 看我右勾拳
EP10：乙女心は複雑なのよ　|　少女心可是很难猜的
EP10：せーの　ぴゅあぴゅあラブリー右フック　|　一 二 纯洁无暇又可爱 看我右勾拳
EP10：右フック　|　右勾拳
EP10：ぴゅあぴゅあラブリー右フック　|　纯洁无暇又可爱 看我右勾拳
EP10：右フック　|　右勾拳
EP10：私のキモチを　受け止めて　|　接受我的情感
EP10：いつまでこんなこと続ける気　|　难道我要一直这样下去吗
EP10：何やってんだろう　私　|　我到底在 做什么
EP10：テルルン　|　Terurun
EP10：かわいいよ　|　超级可爱
EP10：テルルン　|　Terurun
EP10：大好きだぞ　|　最喜欢你了
EP10：愛してるよ　|　我爱你啊
EP10：みんな　|　各位
EP10：今までありがとう　|　感谢一直以来的支持
EP10：テルルン？　|　Terurun？
EP10：テルルン　|　Terurun
EP10：どうした　|　怎么了
EP10：テルルン　|　Terurun
EP10：これからは…　|　今后…
EP10：もっと　ずっと　みんなのテルルンだぞ　|　我会更加努力 一直都会是大家的Terurun
EP10：テルルン　|　Terurun
EP10：眩しいくらい　輝くこの日々は　|　这些灿烂的日子耀眼而眩目
EP10：忘れられない　君と僕の１ページ　|　无法忘记 你与我的那一页
EP10：テルルン　|　Terurun
EP10：また笑顔になって　また手を振って　|　再度绽放笑容 再度挥手告别
EP10：しゃあない　|　真没办法啊
EP10：アイドルやってるときが　いっちばん幸せなんだから　|　谁让当偶像的日子 是最最幸福的呢
EP10：明日に繋がる　想い出溢れるよ　|　今天通向明天 留下满满回忆
EP10：誰にどう思われようと　|　无论其他人怎么想
EP10：私は…　|　我都…
EP10：重ねた手と手なる　さあ　夢を乗せて　|　交叠的双手一起乘着梦想
EP10：どこまでも進むんだ　|　可以前往任何地方
EP10：私は…　|　我都…
EP10：始まるよ　未来への物語　|　要开始了 通向未来的故事
EP10：アイドルが好き　|　最喜欢做偶像了
EP10：松原さん　すごいカッコよかったな　|　松原小姐太帅了
EP10：あすトろ荘にいるときとのギャップがすごい　|　跟在外星庄时反差也太大了
EP10：ラッキーキャットもういないや　残念　|　幸运猫走掉了啊 可惜
EP10：宮坂さん　|　宫坂先生
EP10：はい　|　怎么
EP10：私…　|　我…
EP10：あら　ミラちゃんじゃない　|　啊呀 这不是小米拉吗
EP10：アンラッキーばばあ　|　厄运大妈
EP10：なになに　どうしたの　２人で　|　怎么怎么 干什么呢你们俩
EP10：どこ行ってきたの　|　从哪回来的呀
EP10：アイドルのライブに行ってきたんです　|　我们去看偶像的演唱会了
EP10：アイドルって　誰の　|　偶像 谁啊
EP10：テルルンです　最強のアイドルです　|　Terurun 最棒的偶像
EP10：ヤダ　知らない　|　讨厌 不认识啦
EP10：私なんかのアイドルっていったら　新御三家よね　|　对我来说 偶像就应该是新御三家啦
EP10：知らない　新御三家　|　你知道吗 新御三家
EP10：「GOGOGO」ってやつ　|　就是「GOGOGO」那个
EP10：知らないです　|　我不太清楚
EP10：師匠　今日は何を　|　师傅 今天要做什么
EP10：今日はだな…　|　今天嘛…
EP10：おはようございます　|　早上好
EP10：ミラ　どうしたの　そのエプロン　|　米拉 怎么穿着围裙
EP10：私も　料理を教えてもらおうかと思って　|　我也想学做饭
EP10：ミラはミボー星の次期王位継承者だよ　|　米拉你可是米博星的王位继承人
EP10：料理なんて　|　不用自己做饭
EP10：自分で食べる物くらい　自分で作れるようになりたいの　|　自己吃的东西 我还是想能够自己做
EP10：宮坂さん　いいですか　|　宫坂先生 可以吗
EP10：もちろん　|　当然可以
EP10：頑張ります　|　我会加油的
EP10：まあ…　|　没事…
EP10：人には向き不向きがありますから　|　人人都有不擅长的事
EP10：せめて食べられる物を作れるようになりたいな　|　本想至少做出能吃的食物啊
EP10：ミラさん　|　米拉小姐
EP10：話があるんですけど　いいですか　|　我有事情想跟你说 方便吗
EP10：はい　大丈夫です　|　好啊 没问题
EP10：今のは…　|　刚才那是…
EP10：皆さん　大丈夫でしたか　|　大家都没事吧
EP10：さっきのゴシュ人のスパイ…　|　刚才的戈休星人间谍…
EP10：私じゃなくて　明らかに宮坂さんを狙ってなかった　|　但很明显目标不是我 而是宫坂先生吧
EP10：たまたまじゃないか　|　只是碰巧吧
EP10：そんなふうには…　|　应该不会…
EP10：あれ　|　咦
EP10：これって　|　这是
EP10：ちょっと待って　|　等一下
EP10：これ　昔のあすトろ荘だよね　|　这是以前的外星庄吧
EP10：まだ　看板が「あすなろ」になってるし　|　牌子上的字还是「处星庄」
EP10：そうだな　|　确实
EP10：なんか　違くない　|　怎么感觉哪里不对
EP10：現在と　過去のあすトろ荘との比較を　|　对比现在和过去的外星庄
EP10：庭が狭くなってる　|　院子变小了
EP10：道路拡張　|　道路拓宽的原因吗
EP10：昔はここまであすトろ荘の敷地だったんだ　|　以前到这里为止都属于外星庄
EP10：これ　|　那是
EP10：#用鲜艳的颜色将他魅惑
EP10：#外星庄
EP10：#今日菜单 生姜烧 味噌汤
EP10：#今日菜单 盐烤鲑鱼 味噌汤
EP10：#早餐是生命之源
EP10：#注：改自若埃尔·罗比雄，法国著名厨师
EP10：#七濑晴海结婚！？「我们两人会建立一个幸福的家庭」
EP10：#前偶像“七海”原名七濑晴海（36）在社交平台宣布结婚。根据七海透露，对方是某IT相关企业的董事长，两人于一年前开始交往。七海在社交平台上如此写道。「今天，我七濑晴海在这里宣布结婚。对方是某IT相关企业的董事长，今后我们两人会建立一个幸福的家庭。」一直支持七海的粉丝中有人感慨叹息，也有人衷心为七海的幸福感到高兴。
EP10：#艺人休息室
EP10：#终于发现了米博星继承王位的钥匙
EP10：#这是否意味着米拉就要返回米博星了…
EP10：#拓己与米拉，二人的恋情何去何从？
EP10：#随后，终于戈休星舰队开始行动
EP10 OUT

EP11 IN
EP11：これって　|　这是
EP11：ちょっと待って　|　等一下
EP11：これ　昔のあすトろ荘だよね　|　这是以前的外星庄吧
EP11：まだ　看板が「あすなろ」になってるし　|　牌子上的字还是「处星庄」
EP11：そうだな　|　确实
EP11：なんか　違くない　|　怎么感觉哪里不对
EP11：現在と　過去のあすトろ荘との比較を　|　对比现在和过去的外星庄
EP11：庭が狭くなってる　|　院子变小了
EP11：道路拡張　|　道路拓宽的原因吗
EP11：昔はここまであすトろ荘の敷地だったんだ　|　以前到这里为止都属于外星庄
EP11：これ　|　那是
EP11：私がここに来たときは　既に道路拡張してたからなあ　|　我来这里的时候道路已经拓宽了
EP11：そうですか　|　这样啊
EP11：どこかで見たことあるような　|　好像在哪里看到过
EP11：どこで　|　在哪里
EP11：どこだったかなあ　|　在哪来着
EP11：この写真のオブジェが本当に鍵だとしたら　結構大きいな　|　如果照片上这东西真是钥匙的话 那还挺大的
EP11：庭にあるとしたら　見過ごすはずはない　|　要是在庭院里 我们不应该会没看到
EP11：鍵　見つかったんですか　|　钥匙找到了吗
EP11：これ　見たことないですか　|　你有看到过这个吗
EP11：ないですね　|　没见过
EP11：それは何だ　|　那是什么
EP11：作ったんです　|　我做的
EP11：「タケノコ注意」　|　「小心竹笋」
EP11：ゴシュ人のスパイがまた襲ってくるかもしれないじゃないですか　|　戈休人间谍可能还会来袭击
EP11：宅配便の人とか　ケガするかもしれないし　|　快递员或其他人可能因此受伤
EP11：注意が必要かと　|　有必要提醒一下
EP11：バカじゃないのか　|　你傻吗
