EP01 IN
EP01：フリーダ　|　弗里达
EP08：ダンピールは長くは生きられない　|　半吸血鬼活不长久
EP08：育ての親だった女が死んだ後も　|　养他的女人死掉后
EP08：ジュラスはその女の血をすすってまで生きてきたのよ　|　朱鲁斯为了活命连她的血都吸
EP08：大した執念じゃない　|　这么想活啊
EP08：でも　ダンピールの少年が一人で生き延びるには　|　不过 这世道对一个半吸血鬼少年来说
EP08：この世は過酷すぎたのよね　|　还是太残酷了
EP08：おい　こいつネズミの血を吸ってるぞ　|　喂 这个人在吸老鼠的血
EP08：臭いな　ダンピールか　|　臭死了 是半吸血鬼吗
EP08：よくそんな汚らしい血が吸えるよな　|　真敢吸这么肮脏的血啊
EP08：お前たち　そんな輩に関わるのはよしなさい　|　你们 别管这种人
EP08：行こう　|　走吧
EP08：気持ち悪い　|　恶心死了
EP08：この街から出て行け　ドブの匂いがする　|　快点滚出这条街 一股臭水沟味
EP08：こいつ　|　你小子
EP08：ダンピールの分際でよくも　|　区区半吸血鬼 胆子还不小
EP08：貴族に逆らえばどうなるか　思い知ったか　|　让你尝尝顶撞贵族的滋味
EP08：大丈夫　|　你没事吧
EP08：それが　シャド・ジュラスとローザの出会いだったの　|　这就是沙德·朱鲁斯和罗莎的相遇
EP08：ジュラスはローザに拾われて　ネブラ村に迎えられることになる　|　罗莎捡到了朱鲁斯 把他带到了涅布拉村
EP08：ダンピールを拾うなんて　物づきもいたものね　|　居然捡半吸血鬼 真是古怪之人
EP08：それはね　ネブラ村の住民は全員ダンピールだったからよ　|　这是因为涅布拉村的村民全都是半吸血鬼
EP08：きっと　ローザは同じダンピールであるジュラスの境遇を見過ごせなかったのね　|　同为吸血鬼的朱鲁斯处境悲惨 罗莎肯定看不下去
EP08：同類相哀れむってやつね　|　就是所谓的同类相怜吧
EP08：それであいつは　そのネブラ村ってところの住人になったんだ　|　所以他才成了那个涅布拉村的村民啊
EP08：ええ　|　没错
EP08：シャド・ジュラスはそこで暮らし　そこで成長した　|　沙德·朱鲁斯在那里生活 在那里成长
EP08：やあ　カルロにトルステン　|　卡洛 托斯坦
EP08：どうしたの　|　有什么事吗
EP08：ローザが今日の夕食をみんなで一緒にどうかって　|　罗莎提议今天大家一起吃晚饭
EP08：君も行かないか　|　你来吗
EP08：ああ　伺うよ　|　我会去的
EP08：やっぱ　みんなで食う方がうまいな　|　还是大家一起吃更好吃
EP08：ほら　口に付いてるよ　|　你看 沾到嘴上了
EP08：美味しい　|　好吃
EP08：おい　シャド　|　喂 沙德
EP08：どうした　ぼうっとして　|　你怎么了 一直愣着
EP08：いや　何でもない　|　没事 我没事
EP08：美しく成長したローザにジュラスは惹かれていった　|　朱鲁斯迷上了长成美人的罗莎
EP08：でも　ローザの心がジュラスに向かうことはなかった　|　但罗莎的心却不在朱鲁斯身上
EP08：そして　あの日がやってくる　|　然后 那天到来了
EP08：TRUMPがネブラ村に姿を現したの　|　TRUMP出现在涅布拉村
EP08：その後に待ち受けていたのは　凄惨な破滅よ　|　之后村民们面临的是凄惨的毁灭
EP08：TRUMPのイニシアチブによって　村人たちは互いに殺し合いを始めた　|　由于TRUMP的主动权 村民们互相残杀
EP08：もう　終わりだ　|　已经结束了
EP08：そのまま死んでいた方が彼にとっては良かったのかもしれない　|　对他而言 当时就这么死掉也许更好
EP08：瀕死の状態で発見されたジュラスは　|　朱鲁斯在生命垂危时被发现
EP08：近くの街の血盟病院へと収容され　|　送进了附近的血盟医院
EP08：一命を取り止める　|　捡回了一条命
EP08：まっ　傷も癒えないうちに病院を逃げ出しちゃったけどね　|　但在伤势痊愈之前就从医院逃走了
EP08：居場所を失い　ローザを失い　|　他失去了归宿 失去了罗莎
EP08：残ったのは…　|　只剩下…
EP08：全身を炎に焼かれた痕だけ　|　满身火烧的伤痕
EP08：そんな状態で生き延びるだなんて　地獄ね　|　那样都能活下来 真是地狱
EP08：でもそんな事情知ったこっちゃないわ　|　但我才不管他经历了什么
EP08：あの子たちに危害を加えようってんなら　ぶっ飛ばすだけよ　|　只要他敢对孩子们出手 我就揍飞他
EP08：アブラハム　あんたも目を光らせときなさい　|　亚伯拉罕 你也盯着点
EP08：キキちゃんは優しいのね　|　你真是温柔啊
EP08：それほどでも　|　也没有
EP08：ていうか　なんでそんなやつがペンデュラムに協力してるわけ　|　那他这样的人为什么加入灵摆
EP08：意味わかんない　|　我真不理解
EP08：そんなの決まってるじゃない　|　那不是显而易见吗
EP08：復讐よ　|　他要复仇
EP08：自分からネブラ村とローザを奪ったTRUMPに対する復讐　|　向夺走了他村子和罗莎的TRUMP复仇
EP08：ジュラスはどこで聞きつけたのかは知らないけど　|　朱鲁斯不知道哪来的消息
EP08：うちのボスにコンタクトしてきたの　|　总之他联系上了我们老大
EP08：君かい　TRUMPの居場所を探しているという者は　|　就是你在寻找TRUMP的所在吗
EP08：ああ　あんたたちなら俺の役に立ちそうだと思ってな　|　是 你们应该能帮上我的忙
EP08：私たちはTRUMPを神とし　崇拝している原初信仰者の集まりだ　|　我们是奉TRUMP为神 崇拜他的原始信仰者集团
EP08：TRUMPに復讐などという君の考えとは相容れない　|　跟你想向TRUMP复仇的想法水火不容
EP08：でもね　こうも思うんだ　|　不过我有一个想法
EP08：君なら私の願いが叶えられるかもしれない　|　你说不定能帮我实现愿望
EP08：お前の願いだと？　|　你的愿望？
EP08：ああ　私はTRUMPを幸せにしてあげたいんだ　|　没错 我想让TRUMP幸福
EP08：TRUMPを幸せにね　|　让TRUMP幸福啊
EP08：キキちゃんはどうしてペンデュラムに　|　小琪琪为什么要加入灵摆呢
EP08：気になってたのよ　|　我好奇很久了
EP08：キキちゃんみたいな子が　どうしてこんな所にいるのかって　|　像你这样的女孩 为什么会在这种地方
EP08：私は…　|　我…
EP08：私はずっと繭期でいたいだけ　|　我只是想一直停留在茧期
EP08：そのためにはこれがいる　|　为此我需要这个
EP08：だからここにいる　|　所以我才会在这里
EP08：永遠に繭期の中に　|　永远停留在茧期
EP08：キキちゃんも　幸せになれるといいんだけどね　|　真希望你也能幸福
EP08：私の幸せはどこにもないわ　|　无论何处都没有我的幸福
EP08：もしそんなものがあるとしたら　ずっとずっと遠い未来　|　就算有 那也是遥远未来的事了
EP08：そこにはね　マリーゴールドの花が咲いているの　|　那里一定开满了金盏花
EP08：マリーゴールドの花言葉は絶望よ　|　金盏花的花语可是绝望哦
EP08：時間がない　|　没时间了
EP08：早くしないと　|　必须得赶紧
EP08：おい　|　喂
EP08：まだくたばんじゃねえぞ　|　你别这就死了
EP08：てめえには　役立ってもらわなくちゃならねんだからな　|　我们还得让你派上用场
EP08：ああ　|　我知道
EP08：こんな悠長にしている場合かね　|　现在可不是慢悠悠的时候
EP08：こうしている間にも　子供たちに危害が及ぶかもしれんのだぞ　|　我们在这耗着 孩子们随时可能受到伤害
EP08：今は焦ってもしょうがないだろ　|　现在着急也没用吧
EP08：手がかりがない以上は　一手ずつことを進めていくしかない　|　既然没有线索 就只能逐一调查了
EP08：ああ　|　没错
EP08：今は誇り高きヨハネス・ヴラドを信じようではないか　|　现在就相信高贵的约翰尼斯·弗拉德吧
EP08：馬車からこんなに歩くんなら　|　没想到下车还要走这么远
EP08：もっと動きやすい格好で来るんだった　|　早知道就穿得轻便点了
EP08：あれか　|　是这吗
EP08：よう　少年　|　哟 少年
EP08：人を探しているんだが　|　我们在找人
EP08：おやおや　こんなところに客人とは珍しい　|　哎哟 没想到这地方还有客人上门
EP08：何のご用でしょうか　|　你们有什么事吗
EP08：あんたがネブラ村消失事件の収拾に当たったというハンターか　|　你就是当年涅布拉村消失事件中负责善后的猎人吗
EP08：ええ　石舟と申します　|　是的 我叫石舟
EP08：では　そこにいる少年がネブラ村のもう一人の生き残りか　|　那这位少年就是涅布拉村幸存的另一人吗
EP08：#朱鲁斯如是说
EP08：#灰猫街的决战
EP08 OUT

EP09 IN
EP09：TRUMP　|　TRUMP
EP09：尽きることのない命を　|　赐我永世长存
EP09：私に　永遠の命を授けたまえ　|　赋予我永恒的生命吧
EP09：どうか　|　恳请你
EP09：お願いだ　TRUMP　私は死にたくない　|　求你了 TRUMP 我不想死
EP09：もっと生きたいんだ　|　我想一直活下去
EP09：君のイニシアチブか　|　是你的主动权吗
EP09：何を考えているんだ　|　你究竟在想什么
EP09：いや　|　不
EP09：やめろ　やめろ　|　停手 不要
EP09：シャド　昔から変わらない　|　沙德 你真是一如既往
EP09：君は優しいな　誰よりも優しい人だ　|　你太温柔了 比任何人都更温柔
EP09：ローザ…　|　罗莎…
EP09：ダメだ　死んじゃダメだ　生きてくれ　|　不行 你不能死 你要活下去
EP09：君を死なせやしない　|　我不会让你死去
EP09：俺は君を守るんだ　|　我要保护你
EP09：ローザ　俺は…　|　罗莎 我…
EP09：トレステン　やめろ　|　托斯坦 住手
EP09：だってこの人　死にたかってるから　|　但她自己想要死去
EP09：やめろ　|　住手
EP09：ローザ　|　罗莎
EP09：もうお前でいいや　|　就由你来杀死我吧
EP09：やだ　君を殺したくない　|　不要 我不想杀你
EP09：お願いだ　俺に君を殺させないでくれ　|　求你了 不要让我杀你
EP09：TRUMP　|　TRUMP
EP09：True of Vamp　|　True of Vamp
EP09：始まりの吸血種　|　最初的吸血种
EP09：俺たちは　そのたった一人の吸血種から始まった　|　我们都起源于那个吸血种
EP09：お前が吸血種のすべてを司る神だというのなら　|　你若是掌管吸血种一切的神
EP09：俺は…　|　我会…
EP09：ええ　確かに　|　没错
EP09：私はあの日のネブラ村にいました　|　那天我的确在涅布拉村
EP09：ギルドからの指令で　|　收到公会指令
EP09：ネブラ村で発生した吸血種による殺人事件を調査するために　任務に当たっていたからです　|　按任务要求 调查涅布拉村的吸血种杀人事件
EP09：だがその任務は思わぬ事態へと発展していくこととなった　|　但任务的事态发展却超出预料
EP09：TRUMPがそこに現れたからです　|　因为TRUMP在那里现身了
EP09：おとぎ話の中にしか存在しないはずのTRUMPがそこに　|　本应只存在于童话中的TRUMP现身了
EP09：なぜそれがTRUMPだと分かった　|　你怎么知道那是TRUMP
EP09：だって　殺しても殺しても死なないんですよ　|　因为无论我用什么手段都杀不死他
EP09：あれを見れば馬鹿にだって分かります　|　看到那副情景 谁都知道了
EP09：TRUMPは実在したのだと　|　TRUMP是真实存在的
EP09：だからって　何でTRUMPはネブラ村を全滅させたんだろうね　|　即使如此 为什么TRUMP要毁掉涅布拉村呢
EP09：分かりません　|　我也不知道
EP09：ただ…　|　不过…
EP09：何だ　言ってみろ　|　怎么 说来听听
EP09：ネブラ村は原初信仰者たちの村　|　涅布拉村聚集了原始信仰者
EP09：TRUMPを神と崇め奉る者たちの集まりです　|　他们将TRUMP奉为神明并祭祀
EP09：ダンピールにとって　死は常に隣り合わせ　|　对于半吸血鬼来说 死亡只是家常便饭
EP09：そんな村人たちが永遠の命を欲するのも理解はできます　|　不难体会村民们对永恒生命的渴求
EP09：それが皆殺しとどう繋がるのさ　|　这和他们被灭村有什么关系
EP09：きっと　煩わしかったんですよ　|　一定是TRUMP对此感到厌烦了
EP09：煩わしいだと？　|　厌烦？
EP09：TRUMPにとって自分を信奉する者など　たかってくる蝿と同じなんです　|　在TRUMP看来 信仰者就如同一群缠人的苍蝇
EP09：これはあくまで推測ですが　|　不过这也只是我的推测
EP09：いや　あながち間違いではない　|　不 可能正如你所言
EP09：だからこそ　ヴラド機関は原初信仰者がTRUMPと接触しないよう勤めているのだからな　|　正因如此 弗拉德机关才不让原始信仰者与TRUMP接触
EP09：しかし驚きました　|　但是 我很惊讶
EP09：吸血種の貴族たちが訪ねてこられるとは　|　吸血种的贵族们竟来拜访了
EP09：これは不可侵条約違反です　|　这可违反了不可侵犯条约
EP09：超法規的措置だ　|　情况特殊
EP09：俺たちはネブラ村の生き残りに用がある　|　我们有事要找涅布拉村的幸存者
EP09：萬里は身寄りがなかったので　私が引き取ることにしました　|　万里没有亲人 所以我决定收养他
EP09：人間であるハンターがダンピールを引き取るなんてね　|　人类猎人竟然收养一个半吸血鬼
EP09：いえ　あの子は人間です　|　不 那孩子是人类
EP09：でも　ネブラ村はダンピールの村だって　|　涅布拉村不是半吸血鬼的村子吗
EP09：赤ん坊の頃　森に捨てられていたのを村人に拾われたそうです　|　他婴儿时被遗弃在森林里 之后被村民捡到
EP09：萬里　|　万里
EP09：この方たちがあなたに話があるそうです　|　这些人有话要对你说
EP09：話って　あんたたち吸血種だろ　|　说什么 你们是吸血种吧
EP09：わかるのか　|　你能看出来吗
EP09：ハンターになるためにここで修行してんだ　|　我在这里进行成为猎人的修行
EP09：人間種と吸血種の識別訓練は受けている　|　接受过人类种和吸血种的识别训练
EP09：俺は吸血種が大嫌いだ　|　我最讨厌吸血种
EP09：話すことなんてないね　|　没什么好说的
EP09：まあまあ　そう言わずにさ　|　哎呀 不要这么说
EP09：仕事が残ってるんだ　もう帰ってくれ　|　我还有工作要做 你们回去吧
EP09：シャドという男について聞きたいことがある　|　我想问你一些事 关于一个叫沙德的男人
EP09：お前と同じ　ネブラ村の生き残りだろ　|　他和你一样是涅布拉村的幸存者吧
EP09：嫌な奴だったよ　|　他是个讨厌的家伙
EP09：いつも村長代理のローザに付き従って　偉そうにしてたから　|　总是跟着代理村长罗莎 摆出一副了不起的样子
EP09：あの時　ネブラ村のみんなと一緒に死んでたらよかったんだ　|　要是那时候 他和涅布拉村的人一起死掉就好了
EP09：それなのに…　|　然而…
EP09：そのシャドは今ペンデュラムという反社会組織に加担している　|　那个沙德现在加入了叫做灵摆的反社会组织
EP09：血盟議会の要人と子供たちを人質にして　消息がつかめておらんのだ　|　他把血盟议会的要员和孩子们当成人质 消息不明
EP09：何か知っていることがあれば教えてほしい　|　如果你知道什么的话 请告诉我们
EP09：どんなことでもいいんだ　|　什么事情都可以
EP09：言っただろ　俺は吸血種が大嫌いだ　|　我说过了 我最讨厌吸血种
EP09：あんたたちに協力する義理もない　|　我没理由帮助你们
EP09：だったら　力づくで吐かせてもいいんだがな　|　那我们也可以用暴力逼你说
EP09：ダリちゃん　|　小达利
EP09：やれるもんならやってみろよ　|　有本事就试试看
EP09：萬里　私たちの敵は人間種領域で悪さをする吸血種です　|　万里 我们的敌人是在人类领域作恶的吸血种
EP09：この方たちはそうではない　|　这些人不是
EP09：でもよ　師匠　|　但是 师父
EP09：頼む　|　拜托了
EP09：シャドがさらっていった中には僕の息子がいる　|　沙德带走的人质中有我的儿子
EP09：うちの娘っ子たちもね　|　还有我的女儿们
EP09：あんたらもか　|　你们也是吗
EP09：そうでなければ　人間にこんな頼み事はしないさ　|　不然的话 我不会向人类提出这样的请求
EP09：萬里　|　万里
EP09：少し前に　シャドが会いに来たことがある　|　前一阵子 沙德来找过我
EP09：ここにか　|　在这里吗
EP09：最初は誰だかわからなかったよ　|　一开始我不知道是谁
EP09：まさか　あんなになってまで生きてるなんて　|　没想到他都那样了还活着
EP09：俺になんの用だよ　|　你找我有什么事
EP09：おい　何とか言えって　|　喂 说点什么啊
EP09：俺は…　|　我…
EP09：お前　死ぬのか　|　你要死了吗
EP09：そう遠くはない未来だ　|　不会太久了
EP09：ダンピールは元より長くは生きられないが　|　半吸血鬼本来就活不长久
EP09：この怪我のせいでそれが少し早まった　|　再加上这个伤 让我更早死了
EP09：じゃあ　こんなところにいないで　病院に帰れよ　|　那么 你不要在这里 赶紧回医院去
EP09：やることがあるんだ　|　我还有事情要做
EP09：この命が終わる前に　俺はそれをやり遂げなくちゃならない　|　在我死之前 我必须完成这件事
EP09：なんで俺に会いに来たんだよ　|　你为什么来找我
EP09：さあな　|　谁知道呢
EP09：お前のところの家族とは　折り合いが悪かったしな　|　而且我和你家的人关系不好
EP09：だったらなんで　|　那为什么
EP09：お前があの惨劇を生き延びたと聞いて　会いたくなった　|　听说你在那场惨剧中活了下来 所以想见你
EP09：ネブラ村の生き残りはもう俺とお前しかいない　|　涅布拉村的幸存者只剩下我和你了
EP09：会うのはこれきりだ　|　这是最后一次见面了
EP09：だが　もしお前が誰かを頼りたくなったら　|　但是 如果你需要帮助的话
EP09：同郷のよしみだ　俺が力になってやる　|　出于同乡的情谊 我会帮助你的
EP09：そんな体でよく言うぜ　|　你这身体还能说这种话
EP09：確かにな　|　确实
EP09：俺は灰猫街というところにいる　|　我在灰猫街
EP09：困ったことがあれば　いつでも訪ねて来い　|　有困难的话随时来找我
EP09：灰猫街？　|　灰猫街？
EP09：そこにシャドがいるんだな　|　沙德在那里吗
EP09：ああ　|　嗯
EP09：すぐに情報屋に探らせよう　連中のアジトが見つかるかもしれん　|　马上让情报员去查 也许能找到他们的藏身之处
EP09：あんたたち　シャドを殺すのか　|　你们要杀沙德吗
EP09：場合によってはそうなる　|　视情况而定
EP09：そうか　|　是吗
EP09：じゃあさ　お願いがあるんだ　|　那么 我有个请求
EP09：お願い？　|　请求？
EP09：なるべく　苦しまないように殺してやってくれ　|　请尽量让他没有痛苦地死去
EP09：同郷のよしみか　|　同乡的情谊吗
EP09：シャドはいけ好かない奴だけど　心底から悪い奴じゃない　|　沙德虽然是个讨厌的家伙 但内心深处并不是坏人
EP09：だから…　|　所以…
EP09：分かった　約束しよう　|　明白了 我答应你
EP09：ご協力に感謝する　|　感谢你的帮助
EP09：このことは他言無用にて　|　这件事不要对外泄露
EP09：ええ　心得ております　|　好的 我明白
EP09：では　失礼する　|　那么 我们先走了
EP09：良かったのですか　|　这样好吗
EP09：それを俺に聞くのかよ　|　你怎么问我这个
EP09：師匠　俺はハンターだ　|　师父 我是猎人
EP09：シャドがもし悪いことをしているなら　それを許すわけにはいかない　|　如果沙德做了坏事 就不能放过他
EP09：ハンターといっても　まだ修行中の身ですがね　|　虽说是猎人 但也还在修行中
EP09：だから　俺はもっともっと強くなる　|　所以 我要变得更加强大
EP09：守りたいものを守るためにだ　|　为了守护我想要守护的东西
EP09：生きてるか　|　你还活着吗
EP09：おいおい　てめえが一番フリーキーじゃねえか　|　喂喂 你不是最畸形的吗
EP09：てめえの繭期はどんな繭期だ　|　你的茧期是怎样的
EP09：なんだ　|　什么
EP09：時間がない　|　没时间了
EP09：俺はもうすぐ死ぬ　|　我就要死了
EP09：その前にやらなくちゃならない　|　在那之前我必须做一件事
EP09：俺は　不老不死の神様を殺すんだ　|　我要杀掉不老不死的神明
EP09：アジトの候補を絞り込み　そこに見張りをつけた　|　我们锁定了几个藏身之处 并派了人监视
EP09：で　そのうちの一つに連中が出入りしているのが確認されたってわけ　|　然后确认了那些人在其中一处进出
EP09：そこに子供たちがいるんだな　|　孩子们应该就在那里吧
EP09：ああ　ヨハネス卿もな　|　嗯 约翰尼斯卿也是
EP09：まあっ　生きてりゃあの話だけどね　|　如果他们还活着的话
EP09：前々から思っていたのだが　|　我以前就在想了
EP09：うん　何　|　什么
EP09：貴兄には感情というものがあるのか　|　你究竟有感情吗
EP09：もちろんあるよ　失礼だな君は　|　当然有了 你真是出言不逊啊
EP09：さて　どうだかな　|　谁知道呢
EP09：一刻も早く連れ戻すぞ　|　赶紧把他们带回来吧
EP09：祖父　|　爷爷
EP09：前たち　怪我はないか　|　你们没受伤吧
EP09：僕は平気だよ　|　我没事
EP09：そうか　それはよかった　|　这样啊 那就好
EP09：ヨハネス卿の方が心配です　|　我们很担心你
EP09：子供に心配されるとは　|　没想到会让小孩子操心
EP09：これ取れないよ　|　这个取不下来
EP09：もう　お家に帰りたい　|　我想回家了
EP09：この人たち　お家に返してあげるって嘘ばっかり言うんだもん　|　这些人嘴上说送我们回家 结果全是谎话
EP09：ヨハネス卿　|　约翰尼斯卿
EP09：あんたたちは自分の意に反してTRUMPのことを話すことはできない　だったな　|　你们不能违反自己的意志 说出TRUMP的事对吧
EP09：だったらなんだ　|　那又怎么样
EP09：あんたが自分から進んで話してくれれば何も問題ない　|　你自愿告诉我们的话就没问题了
EP09：お前たちが話さなければ　五分ごとに子供たちを一人ずつ殺していく　|　你不开口的话 我们每隔五分钟就杀死一个孩子
EP09：ヴラド機関の使命は何よりも優先される　|　弗拉德机关的使命高于一切
EP09：それはつまり　子供たちの命よりもってことだよな　|　也高于孩子们的性命吗
EP09：違うわ　祖父はみんなを守ってくれるの　|　才不是 爷爷会保护所有人
EP09：ルチア　|　露西娅
EP09：ルチアを離せ　|　放开露西娅
EP09：このジュラスが時間がないっていうもんだから　ここでタイムリミットだ　|　这位朱鲁斯说没有时间了 所以时间到此为止
EP09：子供の命よりも任務が大事と言ったな　|　你说了任务高于孩子们的性命吧
EP09：誇り高きヨハネス卿　|　高贵的约翰尼斯卿
EP09：何人目まで耐えられるか　|　你能忍到第几个人呢
EP09：楽しみだ　|　真是期待啊
EP09：ルチア　|　露西娅
EP09：あたしに黙って　何勝手なことしてくれてんのよ　|　你背着我在做什么
EP09：ちょっと　キキちゃん　落ち着いて　|　等一下 小琪琪 冷静一点
EP09：アブラハム　|　亚伯拉罕
EP09：ちょっと　仲間割れしてる場合じゃないでしょ　|　等下 现在不是内讧的时候吧
EP09：言ったはずよ　この子たちに危害を加えようってんなら　あたしがぶっ飛ばすって　|　我说过 谁敢对孩子们出手 我就揍飞他
EP09：キキちゃん　頑張って　|　琪琪姐 加油
EP09：任せといて　|　交给我吧
EP09：ならお前も　ぶっ壊してやる　|　那连你也 一起摧毁
EP09：何をしたの　|　他做了什么
EP09：知るかよ　|　鬼知道
EP09：よくもやってくれたわね　|　竟敢这么对我
EP09：死ね　|　去死吧
EP09：キキちゃん　|　琪琪姐
EP09：ラファちゃん　|　拉斐
EP09：よかった　|　太好了
EP09：ラファエロ・デリコか　|　拉斐尔·德里科吗
EP09：まずこいつからぶっ壊すか　|　从他开始杀吧
EP09：待て　|　等下
EP09：ヨハネス卿　|　约翰尼斯卿
EP09：子供の命より任務が大事じゃなかったのか　|　你不是说任务高于孩子的性命吗
EP09：非情にはなりきれなかったみたいね　|　看来还是不够无情啊
EP09：見直したわ　|　刮目相看了
EP09：TRUMPはクランにいる　|　TRUMP在氏族里
EP09：おいおい　TRUMPは俺たちの神様だろ　|　喂喂 TRUMP可是我们的神明
EP09：それなのになぜクランに　|　为什么会在氏族里
EP09：何　|　什么
EP09：こっちだ　|　这边
EP09：行くぞ　|　走吧
EP09：手分けして内部を捜索するんだ　|　分头行动搜查内部
EP09：じゃあ　俺とディーノはこっちだね　|　那我和迪诺走这边
EP09：お前たちは反対を行け　|　你们去相反的方向
EP09：俺とゲルハルトは正面だ　|　我和盖尔哈德走正面
EP09：は　|　是
EP09：またあんたたちか　懲りないわね　|　又是你们吗 真是不长教训啊
EP09：お前とは何かと縁があるな　怪力娘　|　我们真是有缘啊 怪力女
EP09：だが　俺とゲルハルト二人が相手とは運が悪かったな　|　但是 对上我和盖尔哈德两个人 真是不走运啊
EP09：あなたたちの相手はあたしたちよ　|　你们的对手是我们
EP09：さて　どうする　|　接下来怎么办呢
EP09：我が誇りにかけて叩き潰す　|　赌上自豪 击溃他们
EP09：パンクラチオンを味わうがいい　|　让他们尝尝古希腊式搏击
EP09：増援が来たら押し切られる　|　等增援来了就挡不住了
EP09：ヨハネスを連れて隠し通路から脱出…　|　带上约翰尼斯从密道逃走…
EP09：君にしてはなかなかやるじゃない　|　你干得挺好的嘛
EP09：偉いわ　テオ　みんなを守ろうとするだなんて　|　真了不起 西奥 居然努力保护大家
EP09：このくそガキが　|　臭小鬼
EP09：さっさと撤退するぞ　|　赶紧撤退
EP09：てめえ…　|　你…
EP09：その傷では足手纏いだ　|　你受了伤只会拖后腿
EP09：あとは俺に任せておけ　|　后面就交给我了
EP09：ふざけんな　|　开什么玩笑
EP09：繭期の症状に色々あるのは知ってるな　|　你知道茧期会有很多不同症状吧
EP09：中には「イレギュラー」といって　珍しい症状を見せる者もいる　|　有人会展现出罕见症状 被称为「非常规」
EP09：自分の見ている幻覚を他人に見せたり　|　例如能将自己所见的幻觉展现给他人
EP09：未来を予知したり　|　或是能预知未来
EP09：体臭で人を誘惑したりする症状まであるそうだ　|　甚至有能靠体味诱惑他人的症状
EP09：俺の繭期の症状を教えてやる　|　告诉你我的茧期症状吧
EP09：そうか　だからお前は…　|　原来是这样 所以你才…
EP09：こんな縄　あたしにかかればなんてこと　|　这种绳子别想捆住我
EP09：あれ　|　咦
EP09：その縄には金属が編み込んである　|　这条绳子里编入了金属
EP09：いくら君でも簡単には脱出できまい　|　就算是你也没法轻易挣脱
EP09：いっちょう上がり　|　拿下一个
EP09：もう一人はどこだ　|　还有一个人呢
EP09：ラファエロ　|　拉斐尔
EP09：お父様　|　父亲大人
EP09：ラファエロ　よくぞ無事でいてくれた　|　拉斐尔 还好你没事
EP09：ルチア　エレーナ　|　露西娅 埃琳娜
EP09：パパだ　|　是爸爸
EP09：パパ　|　爸爸
EP09：よかった　|　太好了
EP09：あのね　ラファエロもアンジェリコもテオドールも　悪い奴と戦ったんだよ　|　告诉你 拉斐尔 安杰利科和西奥多都和坏人战斗了
EP09：すっごくかっこよかったんだから　|　他们表现可帅了
EP09：抱きしめてあげなよ　|　抱抱他吧
EP09：よくやったぞ　息子よ　|　干得好 我的儿子
EP09：テオドールよ　|　西奥多
EP09：すみません　ヨハネス卿を助けられませんでした　|　对不起 我没能救出约翰尼斯卿
EP09：仕方ないよね　|　这也没办法
EP09：テオドールはまだ子供だもん　|　毕竟你还是小孩子
EP09：私はお前をクラシコ家の次期当主として　|　我一直按克拉西科家下任当家要求你
EP09：気高き教育を施してきた　|　对你实施贵族教育
EP09：その方針を変えるつもりはない　|　我不打算改变这条方针
EP09：だが　これからは多少甘えることを許可しようではないか　|　但今后也允许你偶尔任性一下吧
EP09：何をしている　来るがいい　さあ　|　愣着干什么 快过来
EP09：行きなよ　|　快去吧
EP09：ほらほら　|　快呀 快呀
EP09：よしよし　大丈夫大丈夫　|　乖 乖 没事的
EP09：もうすぐお父様たちが　ラファエロ坊様たちを連れて戻ってきますからね　|　你父亲他们马上就会带着拉斐尔少爷们回来了
EP09：あら　失礼　|　打扰了
EP09：あたしがその子の新しいベビーシッターよ　|　我是这孩子的新保姆
EP09：って　信じちゃくれないわよね　|　不过你也不会相信吧
EP09：#灰猫街的决战
EP09：#杀死神明的方法
EP09 OUT

EP10 IN
EP10：あたしがその子の新しいベビーシッターよ　|　我是这孩子的新保姆
EP10：って　信じちゃくれないわよね　|　不过你也不会相信吧
EP10：大人しく渡してもらえれば　その子に危害は加えないわ　|　只要你老实交出来 我们不会伤害他的
EP10：誰が渡すものですか　|　你以为我会照做吗
EP10：なら　力ずくでいただくまで　|　那就别怪我不客气了
EP10：おのれ　賊めが　このフィルディナントがお相手する　|　可恶的小贼 让我费迪南德来会会你
EP10：フィルディナント　|　费迪南德
EP10：じゃ　いただいていくわね　|　我们就带走他了
EP10：お待ちなさい　私も一緒に参ります　|　慢着 我也跟你们走
EP10：今　何て言ったの　|　你在说什么
EP10：その子を連れて行くなら　私も連れて行きなさいと言ったのです　|　我说既然你要带他走 那就连同我一起
EP10：お前に利用価値はない　人質はガキ一人で十分だ　|　你没有利用价值 有这小孩当人质就够了
EP10：あなたたち　おしめの変え方もわからないでしょ　|　你们连换尿布都不会吧
EP10：連れて行くなら　私も一緒です　|　既然要带他走 那我也要一起
EP10：そうでなければ　その子を置いて行きなさい　|　否则就请你们放下他
EP10：殺すか　|　要杀了她吗
EP10：あら　いいじゃない　連れてけば　|　算了 带她走吧
EP10：何　|　什么
EP10：だって　この女の言う通りだし　|　毕竟她说得也有道理
EP10：目的を果たすまで　この子には生きててもらわなきゃでしょ　|　在目的达成前 我们得保证这孩子的生命
EP10：ク…クララ　|　克…克拉拉
EP10：フィルディナント　|　费迪南德
EP10：旦那様がお戻りになられたら　このことを伝えてちょうだい　|　要是老爷回来了 请你告诉他
EP10：ウル様は私が必ずお守りすると　|　我一定会保护好乌尔少爷
